GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,x,y,v,cmd_steering,cmd_v,imu_gps_state,imu_satellite_num,imu_warning
2265.0,218952.12,121.51768911,37.438446,37.46,281.49,899755.3088317623,4153104.4248921247,0.005,-120.0,1.8,42.0,23.0,2.0
2265.0,218954.38,121.51768963,37.43844582,37.45,281.48,899755.3558298156,4153104.4071177165,0.033,-120.0,1.8,42.0,26.0,2.0
2265.0,218954.53,121.51768963,37.4384458,37.45,281.46,899755.3559364798,4153104.4048970756,0.029,-120.0,1.8,42.0,26.0,2.0
2265.0,218954.68,121.51768963,37.43844579,37.45,281.45,899755.355989812,4153104.403786756,0.023,-120.0,1.8,42.0,26.0,2.0
2265.0,218954.83,121.51768967,37.43844578,37.45,281.48,899755.3595845324,4153104.4028465403,0.032,-120.0,1.8,42.0,26.0,2.0
2265.0,218954.99,121.51768969,37.43844577,37.45,281.49,899755.361408561,4153104.401821273,0.021,-120.0,1.8,42.0,26.0,2.0
2265.0,218955.12,121.5176897,37.43844577,37.45,281.49,899755.3622939083,4153104.401863798,0.031,-120.0,1.8,42.0,26.0,2.0
2265.0,218955.28,121.5176897,37.43844576,37.45,281.51,899755.3623472403,4153104.400753477,0.016,-120.0,1.8,42.0,25.0,2.0
2265.0,218955.42,121.51768964,37.43844577,37.45,281.52,899755.3569818232,4153104.401608642,0.037,-120.0,1.8,42.0,25.0,2.0
2265.0,218955.59,121.51768951,37.43844578,37.45,281.48,899755.3454189718,4153104.4021661244,0.108,-120.0,1.8,42.0,25.0,2.0
2265.0,218955.72,121.51768925,37.43844582,37.45,281.23,899755.322186607,4153104.4055017275,0.232,-120.0,1.8,42.0,25.0,2.0
2265.0,218955.89,121.51768869,37.43844592,37.46,280.4,899755.27207382,4153104.4142234717,0.366,-120.0,1.8,42.0,25.0,2.0
2265.0,218956.03,121.51768806,37.43844602,37.46,279.25,899755.2157636012,4153104.4226475353,0.426,-120.0,1.8,42.0,25.0,2.0
2265.0,218956.19,121.51768729,37.43844612,37.47,277.64,899755.1470585162,4153104.430476235,0.408,-120.0,1.8,42.0,25.0,2.0
2265.0,218956.32,121.51768672,37.43844621,37.47,276.4,899755.0961137149,4153104.438045135,0.393,-120.0,1.8,42.0,24.0,2.0
2265.0,218956.48,121.51768605,37.43844628,37.48,274.97,899755.0364221019,4153104.442968135,0.37,-120.0,1.8,42.0,24.0,2.0
2265.0,218956.61,121.51768552,37.43844632,37.48,273.83,899754.9892853518,4153104.445155538,0.358,-120.0,1.8,42.0,24.0,2.0
2265.0,218956.76,121.5176849,37.43844639,37.48,272.52,899754.9340204771,4153104.4502911693,0.38,-120.0,1.8,42.0,25.0,2.0
2265.0,218956.89,121.51768436,37.43844643,37.49,271.38,899754.88599838,4153104.4524360476,0.381,-120.0,1.8,42.0,26.0,2.0
2265.0,218957.04,121.51768373,37.43844647,37.49,270.04,899754.8300081522,4153104.4541981937,0.375,-120.0,1.8,42.0,26.0,2.0
2265.0,218957.17,121.51768318,37.43844647,37.49,268.91,899754.7813140363,4153104.451859267,0.369,-120.0,1.8,42.0,26.0,2.0
2265.0,218957.31,121.51768258,37.43844649,37.5,267.67,899754.7280865166,4153104.4515283494,0.366,-120.0,1.8,42.0,26.0,2.0
2265.0,218957.44,121.51768205,37.4384465,37.5,266.52,899754.6811097651,4153104.450384794,0.366,-120.0,1.8,42.0,26.0,2.0
