GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,v,cmd_steering,cmd_v,imu_gps_state,imu_satellite_num,imu_warning,cmd_v.1,car_v,shiftLevel
2283.0,552633.37,121.51387396,37.43440401,45.65,197.34,8.1936,12.0,28.0,2.0,8,8.2265625,10,,
2283.0,552633.47,121.51387347,37.434402399999996,45.65,196.97,7.596,12.0,27.0,2.0,8,8.3828125,10,,
2283.0,552633.57,121.51387273,37.4344005,45.64,196.91,7.218,12.0,27.0,2.0,8,8.625,10,,
2283.0,552633.67,121.51387196,37.43439851,45.64,196.95,7.667999999999999,12.0,27.0,2.0,8,8.703125,10,,
2283.0,552633.77,121.51387125,37.43439653,45.64,196.81,8.5572,12.0,27.0,2.0,8,8.8203125,10,,
2283.0,552633.87,121.51387043,37.43439435,45.64,196.44,9.054,12.0,27.0,2.0,8,9.0625,10,,
2283.0,552633.97,121.51386974,37.43439232,45.64,196.05,8.693999999999999,12.0,27.0,2.0,8,9.125,10,,
2283.0,552634.08,121.51386901,37.43439014,45.64,195.82,8.4024,12.0,27.0,2.0,8,9.1953125,10,,
2283.0,552634.17,121.51386829,37.43438822,45.64,195.83,8.6112,12.0,27.0,2.0,8,9.21875,10,,
2283.0,552634.27,121.51386738,37.43438589,45.63,195.72,9.1728,12.0,28.0,2.0,8,9.296875,10,,
2283.0,552634.37,121.51386668,37.434383700000005,45.63,195.55,9.3168,12.0,28.0,2.0,8,9.296875,10,,
2283.0,552634.47,121.51386605,37.43438159,45.63,195.46,8.9496,12.0,28.0,2.0,8,9.2734375,10,,
2283.0,552634.57,121.51386528,37.43437941,45.63,195.56,8.8344,12.0,28.0,2.0,8,9.2578125,10,,
2283.0,552634.67,121.51386443,37.43437716,45.63,195.61,9.216,12.0,27.0,2.0,8,9.234375,10,,
2283.0,552634.77,121.51386367,37.43437495,45.63,195.62,9.4608,12.0,27.0,2.0,8,9.1796875,10,,
2283.0,552634.87,121.51386285,37.43437279,45.63,195.7,9.2556,12.0,27.0,2.0,8,9.1796875,10,,
2283.0,552634.97,121.51386200000002,37.43437057,45.63,195.9,9.0144,12.0,27.0,2.0,8,9.21875,10,,
2283.0,552635.07,121.51386114,37.43436837,45.63,196.09,9.1692,12.0,27.0,2.0,8,9.15625,10,,
2283.0,552635.17,121.51386037,37.43436618,45.63,196.17,9.298800000000002,12.0,27.0,2.0,8,9.234375,10,,
2283.0,552635.28,121.51385943,37.4343638,45.62,196.31,9.3888,12.0,28.0,2.0,8,9.234375,10,,
2283.0,552635.37,121.5138587,37.43436179,45.62,196.44,9.162,12.0,28.0,2.0,8,9.21875,10,,
2283.0,552635.47,121.51385791,37.43435967,45.62,196.59,9.0252,12.0,27.0,2.0,8,9.21875,10,,
2283.0,552635.57,121.51385713,37.434357500000004,45.62,196.71,9.0756,12.0,27.0,2.0,8,9.125,10,,
2283.0,552635.68,121.51385621,37.434355100000005,45.62,196.87,9.108,12.0,27.0,2.0,8,9.1015625,10,,
2283.0,552635.78,121.51385537,37.43435292,45.61,196.98,9.09,12.0,27.0,2.0,8,9.0234375,10,,
2283.0,552635.88,121.51385451,37.43435078,45.61,197.07,8.8992,12.0,27.0,2.0,8,8.9296875,10,,
2283.0,552635.97,121.51385369,37.43434888,45.61,197.2,8.967600000000003,12.0,27.0,2.0,8,8.9140625,10,,
2283.0,552636.07,121.51385286,37.43434674,45.61,197.31,8.874,12.0,27.0,2.0,8,8.96875,10,,
2283.0,552636.17,121.51385201,37.43434461,45.61,197.46,8.8632,12.0,27.0,2.0,8,9.0078125,10,,
2283.0,552636.27,121.51385117,37.43434243,45.61,197.6,8.9784,12.0,28.0,2.0,8,8.9296875,10,,
2283.0,552636.38,121.51385025,37.43434006,45.61,197.77,9.0324,12.0,28.0,2.0,8,8.8359375,10,,
2283.0,552636.47,121.51384945,37.43433815,45.61,197.92,8.9568,12.0,27.0,2.0,8,8.796875,10,,
2283.0,552636.57,121.51384862,37.43433606,45.61,198.0,8.6976,12.0,27.0,2.0,8,8.859375,10,,
2283.0,552636.67,121.51384774,37.43433402,45.61,198.11,8.7156,12.0,27.0,2.0,8,8.78125,10,,
2283.0,552636.77,121.51384683,37.43433194,45.61,198.22,8.7948,12.0,27.0,2.0,8,8.6640625,10,,
2283.0,552636.88,121.51384577,37.43432962,45.61,198.33,8.802,12.0,27.0,2.0,8,8.8203125,10,,
2283.0,552636.97,121.51384497,37.43432776,45.61,198.39,8.748000000000001,12.0,27.0,2.0,8,8.625,10,,
2283.0,552637.07,121.51384415,37.43432574,45.61,198.48,8.6832,12.0,27.0,2.0,8,8.6484375,10,,
2283.0,552637.17,121.51384326,37.43432369,45.61,198.6,8.6832,12.0,27.0,2.0,8,8.5859375,10,,
2283.0,552637.27,121.51384233,37.43432162,45.61,198.78,8.6976,12.0,28.0,2.0,8,8.5859375,10,,
2283.0,552637.37,121.51384146,37.43431957,45.6,198.88,8.6796,12.0,28.0,2.0,8,8.5703125,10,,
2283.0,552637.47,121.51384065,37.43431761,45.6,198.88,8.5536,12.0,27.0,2.0,8,8.4921875,10,,
2283.0,552637.57,121.51383979,37.43431559,45.6,198.99,8.4672,12.0,27.0,2.0,8,8.453125,10,,
2283.0,552637.67,121.51383894,37.43431371,45.6,199.13,8.5104,12.0,27.0,2.0,8,8.4921875,10,,
2283.0,552637.77,121.5138381,37.43431169,45.6,199.17,8.5104,12.0,27.0,2.0,8,8.3203125,10,,
2283.0,552637.87,121.51383726,37.43430971,45.6,199.16,8.442,12.0,27.0,2.0,8,8.2890625,10,,
2283.0,552637.97,121.51383637,37.43430773,45.6,199.15,8.4168,12.0,27.0,2.0,8,8.3203125,10,,
2283.0,552638.07,121.51383553,37.43430591,45.6,199.1,8.1576,12.0,27.0,2.0,8,8.25,10,,
2283.0,552638.17,121.51383468,37.43430398,45.6,199.07,7.9596,12.0,27.0,2.0,8,8.1875,10,,
2283.0,552638.27,121.51383387,37.434302100000004,45.6,199.03,8.1144,12.0,29.0,2.0,8,8.078125,10,,
2283.0,552638.37,121.51383306,37.43430014,45.6,199.01,8.2728,12.0,29.0,2.0,8,8.015625,10,,
2283.0,552638.47,121.51383227,37.43429821,45.59,198.96,8.1144,12.0,29.0,2.0,8,7.984375,10,,
2283.0,552638.58,121.51383138,37.434296100000005,45.59,198.94,7.8876,12.0,29.0,2.0,8,7.9453125,10,,
2283.0,552638.68,121.51383055,37.434294200000004,45.59,198.96,7.973999999999998,12.0,29.0,2.0,8,7.8828125,10,,
2283.0,552638.78,121.51382973,37.43429229,45.59,198.93,8.1576,12.0,29.0,2.0,8,7.8515625,10,,
2283.0,552638.88,121.51382889,37.43429034,45.59,198.89,8.082,12.0,29.0,2.0,8,7.828125,10,,
2283.0,552638.97,121.51382814,37.43428865,45.58,198.85,8.01,12.0,29.0,2.0,8,7.8671875,10,,
2283.0,552639.08,121.51382728,37.43428676,45.59,198.79,7.7652,12.0,28.0,2.0,8,7.8515625,10,,
2283.0,552639.17,121.51382656,37.43428511,45.59,198.81,7.5924,12.0,28.0,2.0,8,7.7734375,10,,
2283.0,552639.27,121.51382581,37.43428352,45.59,198.78,7.466399999999998,12.0,28.0,2.0,8,7.65625,10,,
2283.0,552639.37,121.51382507,37.43428171,45.58,198.77,7.570800000000001,12.0,28.0,2.0,8,7.640625,10,,
2283.0,552639.47,121.51382427,37.43427975,45.58,198.79,7.790400000000001,12.0,28.0,2.0,8,7.640625,10,,
2283.0,552639.57,121.51382351,37.43427792,45.58,198.76,7.7976,12.0,28.0,2.0,8,7.6015625,10,,
2283.0,552639.68,121.51382266,37.43427596,45.58,198.72,7.7436,12.0,28.0,2.0,8,7.65625,10,,
2283.0,552639.78,121.51382192,37.43427416,45.57,198.67,7.6320000000000014,12.0,28.0,2.0,8,7.640625,10,,
2283.0,552639.87,121.5138213,37.43427271,45.57,198.65,7.29,12.0,28.0,2.0,8,7.5625,10,,
2283.0,552639.97,121.51382053,37.43427095,45.57,198.62,7.3584,12.0,28.0,2.0,8,7.6171875,10,,
2283.0,552640.07,121.51381972,37.43426916,45.57,198.52,7.5348,12.0,28.0,2.0,8,7.6015625,10,,
2283.0,552640.17,121.51381894,37.43426738,45.57,198.42,7.506,12.0,28.0,2.0,8,7.5234375,10,,
2283.0,552640.28,121.51381829,37.43426551,45.57,198.37,7.282800000000001,12.0,28.0,2.0,8,7.6015625,10,,
2283.0,552640.38,121.51381754,37.43426371,45.57,198.46,7.4304000000000014,12.0,28.0,2.0,8,7.546875,10,,
2283.0,552640.48,121.51381668,37.43426155,45.57,198.47,7.790400000000001,12.0,28.0,2.0,8,7.546875,10,,
2283.0,552640.57,121.51381612,37.43425993,45.57,198.36,7.8948,12.0,28.0,2.0,8,7.6015625,10,,
2283.0,552640.68,121.51381553,37.434258299999996,45.56,198.32,7.7076,12.0,28.0,2.0,8,7.5625,10,,
2283.0,552640.77,121.51381486,37.43425667,45.56,198.32,7.11,12.0,28.0,2.0,8,7.640625,10,,
2283.0,552640.88,121.51381409,37.43425481,45.56,198.34,7.0236,12.0,28.0,2.0,8,7.65625,10,,
2283.0,552640.97,121.51381334,37.43425321,45.56,198.48,7.6068,12.0,28.0,2.0,8,7.5625,10,,
2283.0,552641.07,121.51381234,37.43425104,45.56,198.44,8.1036,12.0,28.0,2.0,8,7.6796875,10,,
2283.0,552641.18,121.51381151,37.43424907,45.56,198.45,8.139600000000002,12.0,28.0,2.0,8,7.640625,10,,
2283.0,552641.27,121.51381133,37.43424846,45.56,198.44,7.3656,12.0,28.0,2.0,8,7.6015625,10,,
2283.0,552641.37,121.51381052,37.43424664,45.56,198.67,7.1316000000000015,12.0,28.0,2.0,8,7.71875,10,,
2283.0,552641.47,121.51380979,37.43424502,45.55,198.85,7.372800000000002,12.0,28.0,2.0,8,7.71875,10,,
2283.0,552641.58,121.51380893,37.43424304,45.55,198.92,7.596,12.0,28.0,2.0,8,7.6796875,10,,
2283.0,552641.67,121.51380804,37.43424112,45.55,198.88,7.8876,12.0,28.0,2.0,8,7.6953125,10,,
2283.0,552641.77,121.51380727,37.43423933,45.55,198.91,7.642800000000001,12.0,28.0,2.0,8,7.7890625,10,,
2283.0,552641.87,121.51380651,37.43423766,45.55,199.05,7.5348,12.0,28.0,2.0,8,7.7890625,10,,
2283.0,552641.97,121.51380571,37.43423583,45.55,199.18,7.6932,12.0,28.0,2.0,8,7.75,10,,
2283.0,552642.07,121.51380494,37.43423401,45.55,199.27,7.732800000000001,12.0,28.0,2.0,8,7.7734375,10,,
2283.0,552642.17,121.51380414,37.434232200000004,45.55,199.37,7.6572,12.0,28.0,2.0,8,7.7890625,10,,
2283.0,552642.28,121.51380333,37.43423042,45.55,199.46,7.570800000000001,12.0,27.0,2.0,8,7.828125,10,,
2283.0,552642.37,121.51380258,37.43422879,45.55,199.59,7.7147999999999985,12.0,27.0,2.0,8,7.8515625,10,,
2283.0,552642.47,121.51380159,37.43422675,45.55,199.66,7.9272,12.0,27.0,2.0,8,7.7890625,10,,
2283.0,552642.57,121.51380073,37.43422493,45.54,199.74,7.7292,12.0,27.0,2.0,8,7.75,10,,
2283.0,552642.67,121.51379986,37.43422317,45.55,199.81,7.7256,12.0,27.0,2.0,8,7.7890625,10,,
2283.0,552642.77,121.51379903,37.43422137,45.55,199.88,7.682399999999999,12.0,27.0,2.0,8,7.7890625,10,,
2283.0,552642.88,121.51379813,37.43421946,45.54,200.02,7.718400000000001,12.0,27.0,2.0,8,7.8125,10,,
2283.0,552642.97,121.51379735,37.43421783,45.54,200.15,7.790400000000001,12.0,27.0,2.0,8,7.7734375,10,,
2283.0,552643.08,121.51379641,37.43421583,45.54,200.25,7.7976,12.0,27.0,2.0,8,7.6953125,10,,
2283.0,552643.17,121.51379565,37.43421419,45.54,200.33,7.700399999999999,12.0,27.0,2.0,8,7.734375,10,,
2283.0,552643.27,121.51379489,37.43421257,45.54,200.43,7.6068,12.0,28.0,2.0,8,7.828125,10,,
2283.0,552643.38,121.51379393,37.43421061,45.54,200.52,7.6103999999999985,12.0,28.0,2.0,8,7.8125,10,,
2283.0,552643.48,121.51379303,37.43420875,45.54,200.6,7.614000000000001,12.0,28.0,2.0,8,7.734375,10,,
2283.0,552643.57,121.51379222,37.43420715,45.54,200.68,7.757999999999999,12.0,28.0,2.0,8,7.6796875,10,,
2283.0,552643.67,121.51379124,37.43420527,45.54,200.75,7.862400000000001,12.0,28.0,2.0,8,7.71875,10,,
2283.0,552643.77,121.51379038,37.43420347,45.54,200.79,7.8443999999999985,12.0,28.0,2.0,8,7.7734375,10,,
2283.0,552643.87,121.51378957,37.43420184,45.54,200.84,7.6320000000000014,12.0,28.0,2.0,8,7.7734375,10,,
2283.0,552643.97,121.51378871,37.43420006,45.54,200.96,7.506,12.0,28.0,2.0,8,7.71875,10,,
2283.0,552644.08,121.51378781,37.43419818,45.54,201.07,7.552799999999999,12.0,28.0,2.0,8,7.734375,10,,
2283.0,552644.17,121.51378701,37.43419657,45.54,201.2,7.5816,12.0,28.0,2.0,8,7.8125,10,,
2283.0,552644.27,121.51378598,37.43419441,45.54,201.33,7.812,12.0,30.0,2.0,8,7.8125,10,,
2283.0,552644.37,121.51378512,37.4341926,45.54,201.4,7.9452,12.0,30.0,2.0,8,7.71875,10,,
2283.0,552644.47,121.51378408,37.43419064,45.54,201.47,7.9092,12.0,29.0,2.0,8,7.734375,10,,
2283.0,552644.58,121.51378312,37.43418867,45.54,201.56,7.754399999999999,12.0,29.0,2.0,8,7.7734375,10,,
2283.0,552644.67,121.51378249,37.4341875,45.54,201.69,7.513200000000001,12.0,29.0,2.0,8,7.7890625,10,,
2283.0,552644.77,121.51378156,37.43418569,45.54,201.85,7.6752,12.0,29.0,2.0,8,7.8125,10,,
2283.0,552644.87,121.51378055,37.43418387,45.53,201.98,7.7147999999999985,12.0,28.0,2.0,8,7.734375,10,,
2283.0,552644.97,121.51377966,37.43418207,45.53,202.03,7.7436,12.0,28.0,2.0,8,7.734375,10,,
2283.0,552645.08,121.51377864,37.43418016,45.53,202.09,7.6788,12.0,28.0,2.0,8,7.734375,10,,
2283.0,552645.17,121.5137778,37.43417857,45.53,202.21,7.65,12.0,28.0,2.0,8,7.8515625,10,,
2283.0,552645.27,121.51377677,37.4341766,45.53,202.33,7.7832,12.0,28.0,2.0,8,7.8125,10,,
2283.0,552645.38,121.51377576,37.43417462,45.53,202.42,7.9704,12.0,28.0,2.0,8,7.7890625,10,,
2283.0,552645.47,121.51377507,37.43417338,45.53,202.42,7.8264,12.0,28.0,2.0,8,7.7734375,10,,
2283.0,552645.57,121.51377413,37.43417159,45.53,202.48,7.466399999999998,12.0,28.0,2.0,8,7.75,10,,
2283.0,552645.67,121.51377337,37.43417018,45.53,202.61,7.340400000000002,12.0,28.0,2.0,8,7.8515625,10,,
2283.0,552645.78,121.51377232,37.43416823,45.53,202.74,7.362,12.0,28.0,2.0,8,7.8515625,10,,
2283.0,552645.88,121.51377116,37.4341662,45.53,202.89,7.65,12.0,27.0,2.0,8,7.8125,10,,
2283.0,552645.97,121.51377028,37.4341646,45.53,202.92,8.172,12.0,27.0,2.0,8,7.7890625,10,,
2283.0,552646.07,121.51376926,37.43416282,45.53,202.87,8.0568,12.0,27.0,2.0,8,7.75,10,,
2283.0,552646.17,121.51376832,37.43416105,45.53,202.9,7.7147999999999985,12.0,27.0,2.0,8,7.7734375,10,,
2283.0,552646.27,121.51376815,37.43416067,45.54,203.08,7.264799999999998,12.0,30.0,2.0,8,7.7890625,10,,
2283.0,552646.38,121.51376713,37.43415872,45.54,203.28,7.4484,12.0,30.0,2.0,8,7.828125,10,,
2283.0,552646.47,121.51376605,37.43415682,45.54,203.42,7.718400000000001,12.0,30.0,2.0,8,7.7734375,10,,
2283.0,552646.57,121.51376512,37.43415507,45.54,203.5,7.646400000000001,12.0,30.0,2.0,8,7.6796875,10,,
2283.0,552646.67,121.51376412,37.43415327,45.53,203.65,7.6752,12.0,30.0,2.0,8,7.7890625,10,,
2283.0,552646.78,121.51376306,37.43415132,45.53,203.81,7.7652,12.0,30.0,2.0,8,7.8125,10,,
2283.0,552646.88,121.51376198,37.4341495,45.53,203.88,7.8372,12.0,30.0,2.0,8,7.734375,10,,
2283.0,552646.98,121.51376104,37.43414777,45.53,203.91,7.6896,12.0,30.0,2.0,8,7.734375,10,,
2283.0,552647.08,121.51376014,37.434146399999996,45.53,204.01,7.552799999999999,12.0,30.0,2.0,8,7.734375,10,,
2283.0,552647.17,121.51375923,37.43414486,45.53,204.13,7.452000000000001,12.0,30.0,2.0,8,7.7890625,10,,
2283.0,552647.28,121.51375811,37.43414288,45.53,204.22,7.513200000000001,12.0,30.0,2.0,8,7.7890625,10,,
2283.0,552647.38,121.51375712,37.43414115,45.53,204.36,7.506,12.0,30.0,2.0,8,7.75,10,,
2283.0,552647.47,121.51375612,37.43413928,45.53,204.44,7.660800000000001,12.0,30.0,2.0,8,7.71875,10,,
2283.0,552647.57,121.51375516,37.43413754,45.53,204.48,7.74,12.0,30.0,2.0,8,7.734375,10,,
2283.0,552647.67,121.51375417,37.4341357,45.53,204.57,7.754399999999999,12.0,30.0,2.0,8,7.8125,10,,
2283.0,552647.77,121.51375314,37.43413395,45.53,204.66,7.808400000000002,12.0,30.0,2.0,8,7.8125,10,,
2283.0,552647.87,121.51375207,37.43413212,45.53,204.68,7.628400000000001,12.0,30.0,2.0,8,7.734375,10,,
2283.0,552647.98,121.51375096,37.43413021,45.53,204.75,7.5024000000000015,12.0,30.0,2.0,8,7.734375,10,,
2283.0,552648.08,121.51375004,37.43412871,45.53,204.88,7.434,12.0,30.0,2.0,8,7.734375,10,,
