GPSTime,v
102230.32,3.85344
102230.82,3.9528000000000008
102231.32,3.6410400000000003
102231.82,3.7187999999999994
102232.32,3.8383200000000004
102232.82,3.7418400000000007
102233.33,3.9052800000000003
102233.83,3.93624
102234.33,3.8628
102234.83,3.781440000000001
102235.33,3.77856
102235.82,3.82464
102236.32,3.6748800000000004
102236.82,3.9528
102237.32,3.906
102237.82,3.73392
102238.32,3.77568
102238.82,3.7526400000000004
102239.32,3.6756
102239.82,3.96
102240.32,3.78864
102240.82,3.6352800000000003
102241.32,3.66552
102241.82,3.61728
102242.32,3.6172799999999996
102242.83,3.7936800000000006
102243.33,3.6165599999999998
102243.82,3.51648
102244.32,3.57768
102244.82,3.61008
102245.32,3.5978399999999993
102245.82,3.6302399999999997
102246.32,3.72528
102246.82,3.5812800000000005
102247.32,3.4718400000000003
102247.82,3.56328
102248.32,3.6410399999999994
102248.82,3.52368
102249.32,3.4617599999999995
102249.83,3.5611200000000003
102250.33,3.74328
102250.83,3.6165599999999998
102251.33,3.7476
102251.83,3.8268
102252.33,3.7864799999999996
102252.82,3.91032
102253.32,3.64824
102253.82,3.6820800000000005
102254.32,3.7576800000000006
102254.82,3.8419200000000004
102255.33,3.6712800000000003
102255.83,4.00464
102256.32,3.8664
102256.83,4.0572
102257.33,3.93912
102257.83,4.043519999999999
102258.33,3.81096
102258.83,3.9276000000000004
102259.33,3.6943200000000003
102259.82,3.4596000000000005
102260.32,3.60216
102260.82,3.93048
102261.32,3.85848
102261.82,4.011840000000001
102262.33,4.016160000000001
102262.83,4.010400000000001
102263.33,3.96432
102263.83,3.99384
102264.33,3.87
102264.82,3.87864
102265.33,3.73536
102265.83,3.6669600000000004
102266.33,3.5884799999999997
102266.83,3.6698400000000007
102267.33,3.8534400000000004
102267.83,3.95856
102268.33,3.8836800000000005
102268.83,3.95496
102269.33,3.90744
102269.83,3.8772000000000006
102270.33,3.86208
102270.83,3.8973600000000004
102271.33,3.7087200000000005
102271.83,3.51648
102272.33,3.6208799999999997
102272.83,3.78864
102273.33,3.77568
102273.83,3.94776
102274.33,3.9340800000000002
102274.83,4.09176
102275.33,3.8728800000000008
102275.83,3.9772799999999995
102276.32,3.8851199999999997
102276.83,3.89088
102277.33,3.7879199999999997
102277.83,3.8462400000000003
102278.33,3.61584
102278.83,3.5928000000000004
102279.33,3.87504
102279.83,3.9348
102280.33,4.025519999999999
102280.83,3.9016800000000003
102281.33,4.047120000000001
102281.83,3.8829599999999997
102282.33,3.93696
102282.83,3.7584000000000004
102283.33,3.8772000000000006
102283.83,3.7065599999999996
102284.33,3.51432
102284.83,3.6936
102285.33,3.96
102285.83,3.82248
102286.32,4.08096
102286.82,3.85056
102287.33,4.0564800000000005
102287.83,3.93264
102288.33,3.9333600000000004
102288.83,3.9528
102289.33,3.7836
102289.83,3.74184
102290.33,3.59568
102290.83,3.55392
102291.33,3.73752
102291.83,3.86208
102292.33,4.068
102292.83,3.9254400000000005
102293.33,4.0053600000000005
102293.83,4.02696
102294.33,3.8800800000000004
102294.83,4.03128
102295.33,3.8419200000000004
102295.83,3.90024
102296.33,3.8484000000000003
102296.83,3.82824
102297.33,3.53016
102297.83,3.47256
102298.33,3.9794400000000003
102298.83,3.96072
102299.33,4.07304
102299.83,4.037039999999999
102300.33,4.039199999999999
102300.83,4.080959999999999
102301.33,3.98088
102301.83,4.01904
102302.34,3.9153600000000006
102302.83,3.8354399999999997
102303.33,3.9290400000000005
102303.83,3.7893600000000007
102304.33,3.7166400000000004
102304.83,3.7519199999999997
102305.33,3.7994399999999997
102305.83,3.76776
102306.32,3.99528
102306.82,3.9247199999999998
102307.33,4.02408
102307.83,3.9938399999999996
102308.32,3.95496
102308.82,4.0075199999999995
102309.33,3.86712
102309.83,3.85272
102310.33,3.82536
102310.83,3.86064
102311.33,3.5675999999999997
102311.83,3.5013599999999996
102312.33,3.82464
102312.83,4.0240800000000005
102313.33,4.00176
102313.83,4.08672
102314.33,4.06008
102314.83,4.1436
102315.33,4.036320000000001
102315.83,3.99168
102316.33,4.00032
102316.83,3.91464
102317.33,3.94776
102317.83,3.9333599999999995
102318.33,3.82392
102318.82,3.7296
102319.33,3.73536
102319.83,3.5812800000000005
102320.33,3.6072
102320.83,3.98376
102321.32,4.0629599999999995
102321.82,4.08168
102322.33,4.0514399999999995
102322.83,3.944160000000001
102323.32,3.98664
102323.82,3.9679200000000003
102324.33,3.8404800000000003
102324.83,3.9232800000000005
102325.33,3.8743199999999995
102325.83,3.7591200000000002
102326.33,3.65976
102326.83,3.49056
102327.33,3.7497600000000006
102327.83,3.85704
102328.33,4.01472
102328.83,4.059360000000001
102329.33,3.983760000000001
102329.83,4.09104
102330.33,3.97224
102330.83,3.985920000000001
102331.33,3.96
102331.83,3.8844000000000003
102332.33,3.7972799999999998
102332.83,3.6583200000000007
102333.33,3.61368
102333.83,3.8404800000000003
102334.33,4.02696
102334.83,4.050000000000001
102335.33,4.137840000000001
102335.83,4.12056
102336.33,4.04136
102336.83,4.0377600000000005
102337.33,4.031999999999999
102337.84,3.9016800000000003
102338.33,3.9614400000000005
102338.83,3.9168000000000007
102339.33,3.8296800000000006
102339.83,3.7267200000000003
102340.33,3.6266399999999996
102340.83,3.6323999999999996
102341.33,3.84912
102341.83,4.04928
102342.33,4.1184
102342.83,4.089599999999999
102343.33,4.1903999999999995
102343.83,4.137840000000001
102344.33,4.03488
102344.83,4.04208
102345.33,4.005360000000001
102345.83,3.8800800000000004
102346.33,3.92256
102346.83,3.86856
102347.33,3.78648
102347.83,3.7058400000000007
102348.33,3.6410400000000003
102348.83,3.8102400000000003
102349.33,4.068720000000001
102349.83,4.021199999999999
102350.33,4.1140799999999995
102350.82,4.08744
102351.32,4.207680000000001
102351.83,4.137120000000001
102352.32,4.021200000000001
102352.82,4.060080000000001
102353.33,3.9585600000000007
102353.83,3.85128
102354.33,3.96216
102354.83,3.83472
102355.33,3.7512
102355.84,3.66768
102356.33,3.6626400000000006
102356.83,3.8412000000000006
102357.33,4.08384
