GPSWeek,GPSTime,Latitude,Longitude,Altitude,cmd_v,tractor_info_dict
2282,531330.0,37.43205911,121.51935837,45.35,5.0,0.0
2282,531334.0,37.43205908,121.51935836,45.35,5.0,0.0
2282,531336.0,37.43205906,121.51935835,45.35,5.0,0.0
2282,531338.0,37.43205904,121.51935832,45.35,5.0,0.0
2282,531340.0,37.43205848,121.51935845,45.35,5.0,0.0
2282,531342.0,37.43205016,121.51935878,45.4,5.0,0.0
2282,531344.0,37.43203099,121.51935809,45.43,5.0,0.0
2282,531346.0,37.43201069,121.51935773,45.56,5.0,0.0
2282,531348.0,37.43199195,121.51935887,45.59,5.0,0.0
2282,531350.0,37.43197299,121.51936072,45.5,5.0,0.0
2282,531352.0,37.43195485,121.51936174,45.47,5.0,0.0
2282,531354.0,37.43193461,121.51936353,45.49,5.0,0.0
2282,531356.0,37.43191672,121.51936511,45.39,5.0,0.0
2282,531358.0,37.43189642,121.51936606,45.4,5.0,0.0
2282,531360.0,37.43187805,121.51936599,45.37,5.0,0.0
2282,531362.0,37.43186021,121.51936598,45.33,5.0,0.0
2282,531364.0,37.43183996,121.5193656,45.47,5.0,0.0
2282,531366.0,37.43181961,121.51936408,45.48,5.0,0.0
2282,531368.0,37.4318006,121.51936138,45.55,5.0,0.0
2282,531370.0,37.4317802,121.51935818,45.51,5.0,0.0
2282,531372.0,37.43175974,121.51935485,45.41,5.0,0.0
2282,531374.0,37.43174073,121.51935203,45.5,5.0,0.0
2282,531376.0,37.43172071,121.51934858,45.5,5.0,0.0
2282,531378.0,37.4317011,121.51934507,45.5,5.0,0.0
2282,531380.0,37.43168083,121.51934185,45.42,5.0,0.0
2282,531382.0,37.4316606,121.51933792,45.46,5.0,0.0
2282,531384.0,37.43164083,121.51933476,45.35,5.0,0.0
2282,531386.0,37.43162191,121.51933237,45.29,5.0,0.0
2282,531388.0,37.43160122,121.51932901,45.37,5.0,0.0
2282,531390.0,37.43158277,121.51932679,45.36,5.0,0.0
2282,531392.0,37.43156234,121.51932362,45.43,5.0,0.0
2282,531394.0,37.43154273,121.51932046,45.4,5.0,0.0
2282,531396.0,37.43152231,121.51931718,45.38,5.0,0.0
2282,531398.0,37.43150281,121.51931368,45.32,5.0,0.0
2282,531400.0,37.43148292,121.51930898,45.25,5.0,0.0
2282,531402.0,37.43146402,121.5193039,45.23,5.0,0.0
2282,531404.0,37.43144628,121.51930001,45.29,5.0,0.0
2282,531406.0,37.43142728,121.51929632,45.34,5.0,0.0
2282,531408.0,37.43140887,121.51929265,45.44,5.0,0.0
2282,531410.0,37.43138805,121.51928702,45.45,5.0,0.0
2282,531412.0,37.43136816,121.5192801,45.45,5.0,0.0
2282,531414.0,37.43134923,121.51927218,45.4,5.0,0.0
2282,531416.0,37.43132966,121.5192628,45.41,5.0,0.0
2282,531418.0,37.43131134,121.51925402,45.44,5.0,1.59375
2282,531420.0,37.4312919,121.51924431,45.51,5.0,4.1953125
2282,531422.0,37.43127294,121.51923555,45.52,5.0,3.9921875
2282,531424.0,37.43125368,121.51922759,45.39,5.0,4.2578125
2282,531426.0,37.43123586,121.5192196,45.33,5.0,4.125
2282,531428.0,37.43121682,121.519211,45.34,5.0,4.046875
2282,531430.0,37.43119776,121.51920287,45.44,5.0,4.1953125
2282,531432.0,37.43118002,121.51919617,45.39,5.0,4.1015625
2282,531434.0,37.43116027,121.51918797,45.42,5.0,3.9921875
2282,531436.0,37.43114191,121.5191803,45.44,5.0,4.21875
2282,531438.0,37.43112359,121.5191717,45.45,5.0,4.0859375
2282,531440.0,37.43110439,121.5191624,45.52,5.0,4.1796875
2282,531442.0,37.43108637,121.51915302,45.59,5.0,4.1015625
2282,531444.0,37.43106866,121.51914238,45.63,5.0,3.9140625
2282,531446.0,37.4310504,121.51913105,45.6,5.0,4.1796875
2282,531448.0,37.43103238,121.51911938,45.58,5.0,4.0859375
2282,531450.0,37.43101443,121.519108,45.56,5.0,3.9296875
2282,531452.0,37.43099761,121.51909572,45.58,5.0,4.140625
2282,531454.0,37.43097943,121.51908427,45.57,5.0,4.046875
2282,531456.0,37.43096218,121.51907252,45.64,5.0,4.0625
2282,531458.0,37.43094455,121.51905831,45.6,5.0,4.15625
2282,531460.0,37.43092762,121.51904545,45.53,5.0,4.0859375
2282,531462.0,37.43091099,121.51903198,45.62,5.0,4.234375
2282,531464.0,37.43089504,121.51901873,45.57,5.0,4.1015625
2282,531466.0,37.43087856,121.51900516,45.62,5.0,4.0078125
2282,531468.0,37.43086286,121.51899131,45.54,5.0,4.2734375
2282,531470.0,37.43084711,121.51897713,45.47,5.0,4.0859375
2282,531472.0,37.43083024,121.51896384,45.57,5.0,3.9296875
2282,531474.0,37.43081453,121.51895128,45.56,5.0,4.1796875
2282,531476.0,37.43079807,121.51893659,45.56,5.0,4.0625
2282,531478.0,37.43078188,121.51892293,45.69,5.0,4.2578125
2282,531480.0,37.43076594,121.51890928,45.84,5.0,4.0625
2282,531482.0,37.43074961,121.51889321,45.92,5.0,3.9296875
2282,531484.0,37.43073404,121.5188779,45.91,5.0,4.2578125
2282,531486.0,37.43071839,121.51886346,45.87,5.0,4.0625
2282,531488.0,37.43070339,121.51884748,45.81,5.0,3.9296875
2282,531490.0,37.43068924,121.51883176,45.79,5.0,4.125
2282,531492.0,37.430675,121.51881622,45.87,5.0,4.0078125
2282,531494.0,37.43065999,121.51879892,45.77,5.0,4.15625
2282,531496.0,37.43064568,121.51878258,45.88,5.0,4.125
2282,531498.0,37.43063054,121.51876512,45.92,5.0,4.046875
2282,531500.0,37.43061605,121.5187478,45.85,5.0,4.2578125
2282,531502.0,37.43060088,121.5187307,45.85,5.0,4.1015625
2282,531504.0,37.43058584,121.51871423,45.82,5.0,3.9921875
2282,531506.0,37.43056958,121.51869767,45.8,5.0,4.2578125
2282,531508.0,37.43055496,121.51868227,45.77,5.0,4.0859375
2282,531510.0,37.43053987,121.51866588,45.7,5.0,3.953125
2282,531512.0,37.43052522,121.51864965,45.73,5.0,4.2734375
2282,531514.0,37.43051106,121.51863348,45.76,5.0,4.1015625
2282,531516.0,37.43049651,121.51861569,45.81,5.0,4.234375
2282,531518.0,37.4304825,121.51859783,45.92,5.0,4.1015625
2282,531520.0,37.43046879,121.51857907,45.98,5.0,4.0078125
2282,531522.0,37.43045567,121.5185613,46.04,5.0,4.1953125
2282,531524.0,37.43044201,121.51854322,46.06,5.0,4.125
2282,531526.0,37.43042807,121.51852467,46.16,5.0,3.96875
2282,531528.0,37.43041466,121.51850674,46.2,5.0,4.140625
2282,531530.0,37.43040127,121.51848864,46.11,5.0,4.0859375
2282,531532.0,37.43038857,121.51847036,46.1,5.0,4.1953125
2282,531534.0,37.43037645,121.51845116,46.09,5.0,4.125
2282,531536.0,37.43036437,121.51843228,46.12,5.0,4.0078125
2282,531538.0,37.43035172,121.51841288,46.17,5.0,4.1796875
2282,531540.0,37.43033964,121.51839256,46.14,5.0,4.1015625
2282,531542.0,37.43032922,121.51837296,46.17,5.0,3.953125
2282,531544.0,37.43031793,121.51835295,46.31,5.0,4.2734375
2282,531546.0,37.43030741,121.51833288,46.5,5.0,4.1015625
2282,531548.0,37.43029753,121.51831127,46.59,5.0,4.140625
2282,531550.0,37.43028752,121.51829073,46.68,5.0,4.125
2282,531552.0,37.43027692,121.51826939,46.74,5.0,4.0078125
2282,531554.0,37.43026696,121.5182483,46.81,5.0,4.234375
2282,531556.0,37.4302576,121.51822709,46.79,5.0,3.96875
2282,531558.0,37.43024761,121.51820604,46.84,5.0,4.125
2282,531560.0,37.43023785,121.5181837,47.01,5.0,3.9921875
2282,531562.0,37.43022884,121.51816177,47.1,5.0,4.21875
2282,531564.0,37.43022043,121.51814022,47.22,5.0,4.0625
2282,531566.0,37.43021171,121.51811908,47.4,5.0,3.9296875
2282,531568.0,37.43020273,121.51809584,47.57,5.0,4.2578125
2282,531570.0,37.43019455,121.51807311,47.72,5.0,4.046875
2282,531572.0,37.43018685,121.51805187,47.9,5.0,4.0234375
2282,531574.0,37.43017865,121.51803045,47.93,5.0,4.1015625
2282,531576.0,37.43017043,121.51800858,48.02,5.0,4.0234375
2282,531578.0,37.43016305,121.5179863,48.05,5.0,4.2734375
2282,531580.0,37.43015574,121.51796355,48.12,5.0,4.1015625
2282,531582.0,37.43014876,121.51794171,48.24,5.0,3.953125
2282,531584.0,37.43014159,121.51791894,48.33,5.0,4.140625
2282,531586.0,37.430134,121.51789622,48.5,5.0,4.125
2282,531588.0,37.43012606,121.5178732,48.68,5.0,4.140625
2282,531590.0,37.43011681,121.51785026,48.77,5.0,4.1015625
2282,531592.0,37.43010746,121.5178275,48.9,5.0,4.0078125
2282,531594.0,37.43009867,121.51780644,49.04,5.0,4.2578125
2282,531596.0,37.43008988,121.51778525,49.18,5.0,4.0859375
2282,531598.0,37.43008146,121.51776384,49.28,5.0,3.96875
2282,531600.0,37.43007356,121.51774295,49.37,5.0,4.2578125
2282,531602.0,37.43006584,121.51772124,49.43,5.0,4.1015625
