GPSWeek,GPSTime,Latitude,Longitude,Altitude,cmd_v,tractor_info_dict
2282,546604.0,37.43332596,121.5132861,36.36,3.0,0.0
2282,546620.0,37.43332595,121.51328607,36.36,3.0,0.0
2282,546622.0,37.43332592,121.51328609,36.36,3.0,0.0
2282,546624.0,37.4333257,121.51328592,36.35,3.0,0.0
2282,546626.0,37.43332355,121.51328459,36.4,3.0,0.0
2282,546628.0,37.43331026,121.51327786,36.43,3.0,0.0
2282,546630.0,37.43329231,121.51326942,36.53,3.0,0.0
2282,546632.0,37.43327408,121.51326046,36.69,3.0,0.0
2282,546634.0,37.43325633,121.51325485,36.77,3.0,0.0
2282,546636.0,37.43323738,121.51324583,36.89,3.0,0.0
2282,546638.0,37.43321817,121.51323605,37.03,3.0,0.0
2282,546640.0,37.43320045,121.51322806,37.18,3.0,0.0
2282,546642.0,37.43318023,121.51321937,37.46,3.0,0.0
2282,546644.0,37.43316145,121.51321295,37.6,3.0,0.0
2282,546646.0,37.43314155,121.51320566,37.76,3.0,0.0
2282,546648.0,37.43312107,121.51319814,37.95,3.0,0.0
2282,546650.0,37.43310166,121.51319145,38.02,3.0,0.0
2282,546652.0,37.43308117,121.51318556,38.13,3.0,0.0
2282,546654.0,37.43306196,121.51318076,38.2,3.0,0.0
2282,546656.0,37.43304149,121.51317507,38.42,3.0,0.0
2282,546658.0,37.43302123,121.51316691,38.63,3.0,0.0
2282,546660.0,37.43300372,121.51316006,38.76,3.0,0.0
2282,546662.0,37.43298491,121.51315255,38.96,3.0,0.0
2282,546664.0,37.43296634,121.51314527,39.11,3.0,0.0
2282,546666.0,37.43294492,121.5131374,39.42,3.0,0.0
2282,546668.0,37.43292487,121.51313085,39.79,3.0,0.0
2282,546670.0,37.43290558,121.51312499,40.16,3.0,0.0
2282,546672.0,37.43288683,121.51311895,40.45,3.0,0.0
2282,546674.0,37.43286822,121.51311261,40.7,3.0,0.0
2282,546676.0,37.43284826,121.51310685,40.95,3.0,0.0
2282,546678.0,37.43282739,121.51310137,41.17,3.0,0.0
2282,546680.0,37.43280836,121.51309594,41.33,3.0,0.0
2282,546682.0,37.43278746,121.5130903,41.5,3.0,0.0
2282,546684.0,37.43276666,121.5130852,41.59,3.0,0.0
2282,546686.0,37.43274784,121.51308193,41.71,3.0,0.0
2282,546688.0,37.43272657,121.51307691,41.82,3.0,0.0
2282,546690.0,37.43270525,121.51307264,41.97,3.0,0.0
2282,546692.0,37.43268517,121.51306853,42.17,3.0,0.0
2282,546694.0,37.43266468,121.51306589,42.44,3.0,0.0
2282,546696.0,37.43264483,121.51306334,42.58,3.0,0.0
2282,546698.0,37.43262435,121.51306084,42.81,3.0,0.0
2282,546700.0,37.43260439,121.51305814,43.0,3.0,0.0
2282,546702.0,37.432586,121.51305604,43.22,3.0,0.53125
2282,546704.0,37.43256759,121.51305443,43.38,3.0,3.2265625
2282,546706.0,37.43254896,121.51305017,43.47,3.0,4.125
2282,546708.0,37.43252823,121.51304561,43.81,3.0,4.0078125
2282,546710.0,37.43251013,121.51304223,43.99,3.0,4.2890625
2282,546712.0,37.43249197,121.51303968,44.04,3.0,4.046875
2282,546714.0,37.4324731,121.51303799,44.15,3.0,3.953125
2282,546716.0,37.43245359,121.51303628,44.45,3.0,4.21875
2282,546718.0,37.43243418,121.51303538,44.65,3.0,4.046875
2282,546720.0,37.43241519,121.51303447,44.83,3.0,4.2578125
2282,546722.0,37.43239505,121.51303407,44.95,3.0,4.15625
2282,546724.0,37.43237568,121.51303418,44.91,3.0,4.046875
2282,546726.0,37.43235586,121.51303483,44.95,3.0,4.2890625
2282,546728.0,37.43233552,121.5130361,45.06,3.0,4.140625
2282,546730.0,37.43231572,121.51303745,45.14,3.0,3.953125
2282,546732.0,37.43229446,121.51304023,45.29,3.0,4.1796875
2282,546734.0,37.43227488,121.51304295,45.3,3.0,4.0625
2282,546736.0,37.43225315,121.51304566,45.42,3.0,3.96875
2282,546738.0,37.43223358,121.51304913,45.48,3.0,4.15625
2282,546740.0,37.43221319,121.51305321,45.56,3.0,4.0234375
2282,546742.0,37.43219331,121.51305812,45.58,3.0,4.1953125
2282,546744.0,37.43217351,121.51306255,45.66,3.0,4.1015625
2282,546746.0,37.43215382,121.51306702,45.72,3.0,3.953125
2282,546748.0,37.43213396,121.51307071,45.78,3.0,4.234375
2282,546750.0,37.43211413,121.51307427,45.86,3.0,4.046875
2282,546752.0,37.43209421,121.51307738,45.91,3.0,4.1953125
2282,546754.0,37.43207437,121.51308096,45.85,3.0,4.140625
2282,546756.0,37.43205413,121.51308422,45.87,3.0,3.96875
2282,546758.0,37.43203418,121.51308673,45.8,3.0,4.2578125
2282,546760.0,37.43201501,121.51308884,45.93,3.0,4.1015625
2282,546762.0,37.43199374,121.51309038,45.97,3.0,3.953125
