GPSWeek,GPSTime,Latitude,Longitude,Altitude,cmd_v,v
2282,547062,37.4310367,121.51351525,45.17,3,0
2282,547074,37.43103621,121.51351543,45.17,3,0
2282,547076,37.4310362,121.51351542,45.17,3,0
2282,547078,37.43103622,121.51351541,45.17,3,0
2282,547080,37.43103298,121.51351806,45.14,3,0
2282,547082,37.43102497,121.51352403,45.16,3,0
2282,547084,37.43101499,121.51353194,45.22,3,0
2282,547086,37.43100275,121.51353981,45.35,3,0
2282,547088,37.43099101,121.51355069,45.35,3,0
2282,547090,37.43098088,121.51355941,45.54,3,0
2282,547092,37.43096831,121.51356848,45.67,3,0
2282,547094,37.43095776,121.51357811,45.84,3,0
2282,547096,37.43094669,121.51358848,45.84,3,0
2282,547098,37.43093519,121.51359859,45.88,3,0
2282,547100,37.43092466,121.51360878,45.89,3,0
2282,547102,37.43091376,121.51361958,45.88,3,0
2282,547104,37.4309015,121.51363008,45.85,3,0
2282,547106,37.43088847,121.51364156,45.89,3,0
2282,547108,37.43087594,121.51365268,45.93,3,0
2282,547110,37.43086391,121.51366433,45.96,3,0
2282,547112,37.43085238,121.51367525,45.88,3,0
2282,547114,37.43084128,121.51368736,45.99,3,0
2282,547116,37.4308301,121.5136991,46.1,3,0
2282,547118,37.43081765,121.51371106,46.15,3,0
2282,547120,37.43080672,121.51372127,46.3,3,0
2282,547122,37.43079663,121.51373259,46.27,3,0
2282,547124,37.43078514,121.51374443,46.25,3,0
2282,547126,37.43077529,121.51375605,46.19,3,0
2282,547128,37.43076526,121.51376744,46.18,3,0
2282,547130,37.43075555,121.51377852,46.22,3,0
2282,547132,37.43074501,121.51379088,46.13,3,0
2282,547134,37.43073455,121.51380224,46.23,3,0
2282,547136,37.43072393,121.51381447,46.2,3,0
2282,547138,37.43071453,121.51382429,46.19,3,0
2282,547140,37.43070523,121.51383556,46.13,3,0
2282,547142,37.43069617,121.51384764,46.09,3,0
2282,547144,37.43068523,121.51386149,46.07,3,0
2282,547146,37.43067466,121.51387321,46.09,3,0
2282,547148,37.43066317,121.51388686,46.03,3,0
2282,547150,37.43065279,121.51390001,46.02,3,0
2282,547152,37.43064401,121.51391182,46.04,3,0
2282,547154,37.43063528,121.51392479,45.96,3,0
2282,547156,37.43062536,121.51393714,45.93,3,0.546875
2282,547158,37.43061561,121.51394904,45.93,3,1.9921875
2282,547160,37.43060626,121.51396123,45.92,3,2.5234375
2282,547162,37.43059621,121.51397399,46.04,3,2.7734375
2282,547164,37.43058679,121.51398653,45.93,3,2.7890625
2282,547166,37.43057867,121.51399902,45.91,3,2.828125
2282,547168,37.43056808,121.51401254,45.94,3,2.7734375
2282,547170,37.43055665,121.51402592,45.93,3,2.8515625
2282,547172,37.43054604,121.51404012,46.09,3,2.6953125
2282,547174,37.43053502,121.51405512,46.22,3,2.90625
2282,547176,37.43052543,121.51406825,46.3,3,2.734375
2282,547178,37.43051458,121.51408237,46.3,3,2.8515625
2282,547180,37.4305052,121.51409704,46.32,3,2.734375
2282,547182,37.43049505,121.5141122,46.34,3,2.8671875
2282,547184,37.43048696,121.51412533,46.26,3,2.71875
2282,547186,37.43047808,121.51413834,46.25,3,2.9609375
2282,547188,37.43046812,121.51415511,46.14,3,2.8125
2282,547190,37.4304598,121.51416998,46.13,3,2.921875
2282,547192,37.43045,121.51418408,46.34,3,2.90625
2282,547194,37.43043835,121.51419791,46.72,3,2.7734375
2282,547196,37.43042939,121.51421041,46.93,3,2.984375
2282,547198,37.43042068,121.51422347,46.97,3,2.7734375
2282,547200,37.43041162,121.514237,46.98,3,2.9453125
2282,547202,37.43040204,121.5142495,47.19,3,2.8515625
2282,547204,37.43039223,121.51426318,47.34,3,2.921875
2282,547206,37.43038306,121.51427727,47.56,3,2.9453125
2282,547208,37.43037598,121.51429038,47.58,3,2.71875
2282,547210,37.43036818,121.51430368,47.62,3,3
2282,547212,37.43035839,121.51431948,47.6,3,2.8515625
