GPSWeek,GPSTime,Latitude,Longitude,Altitude,cmd_v,v,shiftLevel
2282,550858.0,37.43188763,121.51656284,56.36,3,0.0,3
2282,550913.0,37.43429967,121.51768632,66.26,3,0.0,3
2282,550918.0,37.43461024,121.51782575,67.48,3,0.0,3
2282,550920.0,37.43474088,121.51788487,68.0,3,0.0,3
2282,550922.0,37.4348708,121.51794271,68.51,3,0.0,3
2282,550924.0,37.43501532,121.5180101,69.11,3,0.0,3
2282,550926.0,37.43515765,121.51807506,69.69,3,0.0,3
2282,550928.0,37.43494033,121.51788413,67.77,3,0.0,3
2282,550930.0,37.43385257,121.51709031,59.92,3,0.0,3
2282,550932.0,37.43059649,121.51605972,58.46,3,0.0,3
2282,550934.0,37.43061209,121.51605712,60.42,3,0.0,3
2282,550936.0,37.4306264,121.51605506,62.73,3,0.0,3
2282,550938.0,37.43063528,121.51605838,64.56,3,0.0,3
2282,550940.0,37.43064746,121.51606345,66.11,3,0.0,3
2282,550942.0,37.4306625,121.5160703,67.33,3,0.0,3
2282,550944.0,37.43067924,121.51607779,68.19,3,0.0,3
2282,550946.0,37.43069899,121.5160865,68.73,3,0.0,3
2282,550948.0,37.43072063,121.51609531,68.95,3,0.0,3
2282,550950.0,37.43074539,121.51610613,68.94,3,0.0,3
2282,550952.0,37.43077386,121.51611844,68.75,3,0.0,3
2282,550954.0,37.43080419,121.51613196,68.56,3,0.0,3
2282,550956.0,37.43083743,121.51614603,68.54,3,0.0,3
2282,550958.0,37.43087174,121.51616077,68.56,3,0.0,3
2282,550960.0,37.43091222,121.51617811,68.24,3,0.0,3
2282,550962.0,37.43095225,121.51619435,68.38,3,0.0,3
2282,550964.0,37.43099542,121.51621276,68.53,3,0.0,3
2282,550966.0,37.43103809,121.51623048,68.69,3,0.0,3
2282,550968.0,37.4310773,121.51624632,68.8,3,0.0,3
2282,550970.0,37.43112135,121.51626607,68.92,3,0.0,3
2282,550972.0,37.43116657,121.51628555,68.99,3,0.0,3
2282,550974.0,37.43120565,121.51629936,69.03,3,0.0,3
2282,550976.0,37.43124259,121.51631063,69.04,3,0.0,3
2282,550978.0,37.43129119,121.51632828,69.13,3,0.0,3
2282,550980.0,37.43133645,121.51634349,69.25,3,0.0,3
2282,550982.0,37.43138456,121.51635927,69.4,3,0.0,3
2282,550984.0,37.43141982,121.51636705,69.55,3,0.0,3
2282,550986.0,37.43146973,121.51638447,69.75,3,0.0,3
2282,550988.0,37.4315119,121.51639751,69.89,3,0.0,3
2282,550990.0,37.43155163,121.5164098,70.02,3,0.0,3
2282,550992.0,37.43159906,121.51642761,70.18,3,0.0,3
2282,550994.0,37.43166003,121.51645453,70.39,3,0.0,3
2282,550996.0,37.4317076,121.51647388,70.52,3,0.0,3
2282,550998.0,37.43174558,121.5164868,70.51,3,0.0,3
2282,551000.0,37.43176075,121.51648649,70.36,3,0.0,3
2282,551002.0,37.43181231,121.51651071,70.5,3,0.0,3
2282,551004.0,37.43186426,121.51653572,70.61,3,1.421875,3
2282,551006.0,37.43184205,121.51650969,70.3,3,2.6015625,3
2282,551008.0,37.43187709,121.51652204,70.39,3,3.0546875,3
2282,551010.0,37.4319106,121.51653242,70.44,3,2.921875,3
2282,551012.0,37.43189594,121.51650853,70.19,3,2.6015625,3
2282,551014.0,37.43189831,121.5164953,70.02,3,2.375,3
2282,551016.0,37.43186309,121.51645529,69.61,3,2.65625,3
2282,551018.0,37.43188039,121.51645122,69.5,3,2.8515625,3
2282,551020.0,37.43184694,121.51641238,69.1,3,2.6953125,3
2282,551022.0,37.43187909,121.51641834,69.13,3,2.8671875,3
2282,551024.0,37.43189993,121.51641822,69.14,3,2.75,3
2282,551026.0,37.43187138,121.51638755,68.88,3,2.71875,3
2282,551028.0,37.43189079,121.51639024,68.86,3,2.90625,3
2282,551030.0,37.43193885,121.51641304,69.0,3,2.71875,3
2282,551032.0,37.43200368,121.51644722,69.28,3,2.921875,3
2282,551034.0,37.43202378,121.51645092,69.32,3,2.75,3
2282,551036.0,37.43204276,121.51645353,69.4,3,2.90625,3
2282,551038.0,37.43207451,121.516464,69.53,3,2.75,3
2282,551040.0,37.43209697,121.51646832,69.63,3,2.921875,3
2282,551042.0,37.43211539,121.51646962,69.69,3,2.7734375,3
2282,551044.0,37.43214031,121.51647479,69.77,3,2.9453125,3
2282,551046.0,37.43215449,121.51647277,69.77,3,2.8671875,3
2282,551048.0,37.4321793,121.51647729,69.84,3,2.8125,3
2282,551050.0,37.43221402,121.51648846,69.95,3,2.90625,3
2282,551052.0,37.43223515,121.51649078,69.99,3,2.734375,3
2282,551054.0,37.43228399,121.51651069,70.23,3,2.9609375,3
2282,551056.0,37.43233774,121.51653412,70.48,3,2.75,3
2282,551058.0,37.43237704,121.5165478,70.66,3,3.0,3
2282,551060.0,37.4323965,121.51654861,70.74,3,2.921875,3
2282,551062.0,37.4324135,121.51654903,70.76,3,2.8125,3
2282,551064.0,37.43250914,121.51659827,71.32,3,3.0,3
2282,551066.0,37.4324897,121.51657703,71.03,3,2.7734375,3
2282,551068.0,37.43252966,121.51659359,71.19,3,3.015625,3
2282,551070.0,37.43257356,121.5166125,71.37,3,2.9453125,3
2282,551072.0,37.43263429,121.51664149,71.66,3,2.7890625,3
2282,551074.0,37.43268841,121.51666765,71.89,3,2.9609375,3
2282,551076.0,37.43272084,121.51667979,72.01,3,2.7734375,3
2282,551078.0,37.43273057,121.51667679,71.97,3,3.0,3
2282,551080.0,37.43268318,121.51663685,71.54,3,2.8515625,3
2282,551082.0,37.43271415,121.51664632,71.61,3,2.9609375,3
2282,551084.0,37.43268844,121.51662035,71.3,3,3.1171875,3
2282,551086.0,37.43268611,121.51660835,71.15,3,2.828125,3
2282,551088.0,37.43269712,121.51660499,71.05,3,2.9453125,3
2282,551090.0,37.43273626,121.51661894,71.13,3,2.921875,3
2282,551092.0,37.4328029,121.51665051,71.35,3,2.75,3
2282,551094.0,37.4328423,121.51666485,71.43,3,2.921875,3
2282,551096.0,37.43292614,121.51670614,71.76,3,2.734375,3
