GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,v,cmd_v,car_v,shiftLevel
2283,553633.12,121.51120226,37.43464509,34,126.76,6.318,8,7.5859375,2284
2283,553633.22,121.51120395,37.43464421,34.02,125.46,6.048,8,7.5859375,2284
2283,553633.32,121.51120604,37.43464277,34.05,124.28,6.2532,8,7.5859375,2284
2283,553633.42,121.51120782,37.43464195,34.07,123.01,6.5628,8,7.6171875,2284
2283,553633.52,121.51120949,37.43464148,34.09,121.71,6.5988,8,7.6015625,2284
2283,553633.62,121.5112113,37.43464075,34.11,120.41,6.5376,8,7.6015625,2284
2283,553633.72,121.51121301,37.43464001,34.13,119.06,6.4044,8,7.640625,2284
2283,553633.82,121.51121482,37.43463931,34.15,117.72,6.4764,8,7.6953125,2284
2283,553633.92,121.51121659,37.43463881,34.18,116.33,6.6132,8,7.65625,2284
2283,553634.02,121.51121843,37.43463814,34.2,115,6.5196,8,7.6796875,2284
2283,553634.12,121.51122034,37.43463736,34.22,113.75,6.3396,8,7.71875,2284
2283,553634.22,121.51122224,37.43463674,34.25,112.65,6.3576,8,7.6953125,2284
2283,553634.32,121.51122408,37.43463642,34.27,111.58,6.588,8,7.71875,2284
2283,553634.42,121.51122606,37.43463594,34.3,110.5,6.8472,8,7.65625,2284
2283,553634.52,121.51122796,37.43463622,34.31,109.45,6.912,8,7.71875,2284
2283,553634.62,121.51122998,37.4346358,34.34,108.37,6.858,8,7.75,2284
2283,553634.72,121.51123197,37.43463566,34.36,107.29,6.6096,8,7.734375,2284
2283,553634.82,121.51123393,37.43463524,34.39,106.25,6.4296,8,7.7890625,2284
2283,553634.92,121.51123609,37.43463432,34.41,105.27,6.3252,8,7.71875,2284
2283,553635.02,121.51123813,37.43463392,34.44,104.39,6.4188,8,7.6953125,2284
2283,553635.12,121.51124031,37.4346336,34.46,103.51,6.6168,8,7.734375,2284
2283,553635.22,121.51124239,37.43463332,34.49,102.62,6.6672,8,7.7734375,2284
2283,553635.32,121.51124434,37.43463346,34.51,101.72,6.7212,8,7.7734375,2284
2283,553635.42,121.51124641,37.43463326,34.54,100.83,6.678,8,7.7890625,2284
2283,553635.52,121.51124861,37.43463294,34.56,100,6.5736,8,7.7890625,2284
2283,553635.62,121.51125071,37.43463271,34.59,99.27,6.5952,8,7.6953125,2284
2283,553635.72,121.5112529,37.43463225,34.61,98.6,6.7428,8,7.71875,2284
2283,553635.82,121.51125491,37.43463233,34.63,97.98,6.9336,8,7.75,2284
2283,553635.92,121.51125705,37.43463212,34.66,97.43,7.1496,8,7.71875,2284
2283,553636.02,121.5112592,37.43463189,34.69,96.95,7.1784,8,7.7890625,2284
2283,553636.12,121.51126131,37.43463169,34.71,96.6,6.8868,8,7.7734375,2284
2283,553636.22,121.51126386,37.43463106,34.74,96.4,6.6348,8,7.734375,2284
2283,553636.32,121.51126607,37.43463083,34.77,96.3,6.6168,8,7.734375,2284
2283,553636.42,121.51126831,37.43463062,34.79,96.23,6.9012,8,7.7734375,2284
2283,553636.52,121.51127055,37.43463039,34.82,96.14,7.3152,8,7.734375,2284
2283,553636.62,121.51127275,37.43463031,34.85,96.01,7.6248,8,7.734375,2284
2283,553636.73,121.51127491,37.43463039,34.87,95.99,7.56,8,7.7890625,2284
2283,553636.82,121.5112769,37.43463027,34.9,95.98,7.0812,8,7.7734375,2284
2283,553636.92,121.51127956,37.43462986,34.92,96.15,6.8184,8,7.734375,2284
2283,553637.02,121.51128184,37.43462962,34.95,96.34,6.8292,8,7.7890625,2284
2283,553637.12,121.51128414,37.43462943,34.97,96.48,6.9516,8,7.7890625,2284
2283,553637.22,121.51128636,37.43462919,35,96.57,7.2324,8,7.734375,2284
2283,553637.32,121.51128828,37.43462913,35.03,96.6,7.4448,8,7.7890625,2284
2283,553637.42,121.5112905,37.43462898,35.05,96.6,7.5744,8,7.7890625,2284
2283,553637.52,121.51129259,37.43462889,35.08,96.55,7.434,8,7.734375,2284
2283,553637.62,121.5112948,37.43462872,35.1,96.46,7.0596,8,7.7734375,2284
2283,553637.72,121.51129734,37.43462846,35.13,96.38,6.7176,8,7.75,2284
2283,553637.82,121.5112996,37.43462823,35.15,96.32,6.606,8,7.7734375,2284
2283,553637.93,121.51130209,37.43462802,35.18,96.17,6.6276,8,7.8125,2284
2283,553638.03,121.51130431,37.43462781,35.21,96.08,7.0344,8,7.8125,2284
2283,553638.12,121.51130598,37.43462775,35.23,95.83,7.6824,8,7.8125,2284
2283,553638.22,121.51130815,37.43462758,35.25,95.48,7.5672,8,7.734375,2284
2283,553638.32,121.51131029,37.43462745,35.28,95.24,6.894,8,7.71875,2284
2283,553638.42,121.51131254,37.43462725,35.3,95.17,6.462,8,7.734375,2284
2283,553638.53,121.51131548,37.4346269,35.33,95.1,6.5448,8,7.7734375,2284
2283,553638.62,121.51131751,37.43462672,35.36,95.11,7.0848,8,7.7890625,2284
2283,553638.72,121.51131944,37.43462667,35.38,94.93,7.4196,8,7.734375,2284
2283,553638.82,121.51132163,37.43462651,35.41,94.67,7.5204,8,7.7734375,2284
2283,553638.92,121.51132363,37.43462647,35.43,94.4,7.3692,8,7.734375,2284
2283,553639.02,121.51132584,37.43462633,35.46,94.17,6.9516,8,7.71875,2284
2283,553639.12,121.51132798,37.43462619,35.48,93.99,6.7284,8,7.71875,2284
2283,553639.22,121.51133019,37.43462602,35.5,93.85,6.6708,8,7.7734375,2284
2283,553639.32,121.51133242,37.43462586,35.52,93.72,6.7896,8,7.8125,2284
2283,553639.42,121.51133427,37.43462579,35.55,93.57,6.948,8,7.7734375,2284
2283,553639.52,121.51133647,37.43462568,35.57,93.37,7.1928,8,7.8125,2284
2283,553639.62,121.51133869,37.4346256,35.6,93.13,7.434,8,7.75,2284
2283,553639.72,121.51134069,37.43462561,35.62,92.84,7.2468,8,7.75,2284
2283,553639.82,121.51134292,37.43462551,35.65,92.62,6.93,8,7.7734375,2284
2283,553639.92,121.51134551,37.43462538,35.68,92.48,6.7428,8,7.8125,2284
2283,553640.02,121.51134777,37.4346253,35.71,92.4,6.8184,8,7.7890625,2284
2283,553640.13,121.51135014,37.43462525,35.73,92.25,6.8688,8,7.8125,2284
2283,553640.23,121.51135155,37.43462533,35.75,92.14,7.1496,8,7.75,2284
2283,553640.32,121.51135355,37.43462532,35.77,91.94,7.4484,8,7.71875,2284
2283,553640.42,121.51135578,37.43462526,35.8,91.76,7.2432,8,7.75,2284
2283,553640.52,121.5113582,37.43462517,35.83,91.65,6.9588,8,7.75,2284
2283,553640.62,121.51136042,37.43462511,35.86,91.59,6.9012,8,7.71875,2284
2283,553640.73,121.51136302,37.43462507,35.89,91.5,6.9012,8,7.75,2284
2283,553640.83,121.51136512,37.43462506,35.91,91.42,6.948,8,7.75,2284
2283,553640.92,121.51136712,37.43462503,35.93,91.34,7.0236,8,7.71875,2284
2283,553641.02,121.51136935,37.434625,35.96,91.23,7.056,8,7.6953125,2284
2283,553641.12,121.51137138,37.43462502,35.98,91.13,7.0992,8,7.75,2284
2283,553641.23,121.51137381,37.43462498,36.01,91.02,7.0956,8,7.6953125,2284
2283,553641.32,121.5113756,37.43462501,36.03,90.91,7.1028,8,7.6953125,2284
2283,553641.42,121.51137783,37.43462498,36.06,90.79,7.146,8,7.75,2284
2283,553641.52,121.51138023,37.43462495,36.08,90.67,7.11,8,7.71875,2284
2283,553641.62,121.51138247,37.43462494,36.11,90.54,7.0056,8,7.75,2284
2283,553641.72,121.51138499,37.43462492,36.14,90.44,6.9264,8,7.7890625,2284
2283,553641.83,121.51138744,37.4346249,36.17,90.35,6.9444,8,7.7890625,2284
2283,553641.92,121.51138949,37.43462491,36.19,90.31,7.0272,8,7.8125,2284
2283,553642.02,121.51139173,37.43462491,36.22,90.22,7.128,8,7.7890625,2284
2283,553642.12,121.51139397,37.43462494,36.25,90.13,7.1712,8,7.8515625,2284
2283,553642.22,121.51139625,37.43462497,36.27,90.03,7.164,8,7.7890625,2284
2283,553642.32,121.51139831,37.43462502,36.3,89.94,7.1352,8,7.828125,2284
2283,553642.42,121.51140056,37.43462504,36.32,89.84,7.0812,8,7.7890625,2284
2283,553642.52,121.5114027,37.43462509,36.35,89.75,7.0596,8,7.7890625,2284
2283,553642.62,121.51140493,37.43462511,36.38,89.64,7.128,8,7.828125,2284
2283,553642.72,121.51140703,37.43462515,36.4,89.53,7.1028,8,7.828125,2284
2283,553642.82,121.51140927,37.43462516,36.43,89.43,7.074,8,7.8125,2284
2283,553642.92,121.51141124,37.4346252,36.45,89.33,7.1352,8,7.7890625,2284
2283,553643.02,121.51141346,37.43462525,36.48,89.23,7.2072,8,7.8125,2284
2283,553643.12,121.51141538,37.43462534,36.5,89.12,7.1712,8,7.734375,2284
2283,553643.22,121.5114176,37.4346254,36.53,88.99,7.074,8,7.734375,2284
2283,553643.33,121.51142061,37.43462545,36.56,88.89,7.056,8,7.71875,2284
2283,553643.43,121.51142297,37.43462549,36.59,88.78,7.0164,8,7.734375,2284
2283,553643.52,121.51142499,37.43462554,36.61,88.69,7.1388,8,7.7734375,2284
2283,553643.62,121.51142723,37.4346256,36.64,88.58,7.1676,8,7.7734375,2284
2283,553643.72,121.5114294,37.43462568,36.66,88.49,7.002,8,7.75,2284
2283,553643.82,121.5114316,37.43462572,36.69,88.41,6.9696,8,7.71875,2284
2283,553643.93,121.51143425,37.43462578,36.72,88.3,7.1388,8,7.7890625,2284
2283,553644.03,121.51143661,37.43462587,36.74,88.2,7.1964,8,7.75,2284
2283,553644.12,121.51143864,37.43462592,36.77,88.12,6.9768,8,7.75,2284
2283,553644.22,121.51144088,37.43462599,36.8,88.07,6.984,8,7.828125,2284
2283,553644.32,121.51144296,37.43462607,36.83,87.99,7.1028,8,7.8125,2284
2283,553644.43,121.51144542,37.43462618,36.86,87.85,7.1856,8,7.8125,2284
2283,553644.53,121.51144743,37.43462631,36.88,87.74,7.1712,8,7.7890625,2284
2283,553644.62,121.51144946,37.43462641,36.9,87.65,6.9552,8,7.7890625,2284
2283,553644.72,121.51145183,37.43462654,36.93,87.59,6.9264,8,7.7734375,2284
