GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,v,cmd_v,car_v,shiftLevel
2283,553392.61,121.5132536,37.43317221,45.11,23.3,0.0504,8,0,10
2283,553392.63,121.5132536,37.43317221,45.11,23.3,0.0468,8,0,10
2283,553392.71,121.51325359,37.4331722,45.11,23.29,0.0324,8,0,10
2283,553392.81,121.51325358,37.43317219,45.11,23.29,0.0504,8,0,10
2283,553392.91,121.51325358,37.43317218,45.11,23.3,0.072,8,0,10
2283,553393.01,121.51325358,37.43317218,45.11,23.3,0.0468,8,0,10
2283,553393.11,121.51325356,37.43317215,45.11,23.29,0.0396,8,0,10
2283,553393.21,121.51325355,37.43317214,45.11,23.29,0.0792,8,0,10
2283,553393.31,121.51325354,37.43317212,45.11,23.29,0.036,8,0,10
2283,553393.41,121.51325354,37.43317211,45.11,23.29,0.0396,8,0,10
2283,553393.51,121.51325353,37.43317209,45.11,23.29,0.0576,8,0,10
2283,553393.61,121.51325352,37.43317208,45.11,23.29,0.036,8,0,10
2283,553393.71,121.51325351,37.43317205,45.11,23.28,0.0468,8,0,10
2283,553393.81,121.51325351,37.43317205,45.11,23.29,0.0648,8,0,10
2283,553393.91,121.5132535,37.43317202,45.11,23.29,0.0432,8,0,10
2283,553394.01,121.51325349,37.43317201,45.11,23.28,0.0468,8,0,10
2283,553394.11,121.51325348,37.43317199,45.11,23.29,0.0612,8,0,10
2283,553394.21,121.51325347,37.43317198,45.11,23.29,0.0432,8,0,10
2283,553394.31,121.51325346,37.43317196,45.11,23.29,0.0576,8,0,10
2283,553394.41,121.51325345,37.43317195,45.11,23.3,0.054,8,0,10
2283,553394.51,121.51325343,37.43317193,45.11,23.29,0.0288,8,0,10
2283,553394.61,121.51325343,37.43317192,45.11,23.28,0.054,8,0,10
2283,553394.71,121.51325342,37.4331719,45.11,23.28,0.0648,8,0,10
2283,553394.81,121.51325341,37.43317188,45.11,23.28,0.036,8,0,10
2283,553394.91,121.5132534,37.43317186,45.11,23.27,0.0648,8,0,10
2283,553395.01,121.5132534,37.43317185,45.11,23.28,0.0756,8,0,10
2283,553395.11,121.51325338,37.43317183,45.11,23.27,0.054,8,0,10
2283,553395.21,121.51325337,37.43317181,45.11,23.25,0.054,8,0,10
2283,553395.31,121.51325337,37.43317179,45.11,23.27,0.0648,8,0,10
2283,553395.41,121.51325336,37.43317178,45.11,23.26,0.0396,8,0,10
2283,553395.51,121.51325334,37.43317175,45.11,23.26,0.0864,8,0,10
2283,553395.61,121.51325334,37.43317174,45.11,23.26,0.0684,8,0,10
2283,553395.71,121.51325331,37.43317172,45.11,23.24,0.0324,8,0,10
2283,553395.81,121.5132533,37.4331717,45.11,23.22,0.09,8,0,10
2283,553395.91,121.51325329,37.43317169,45.11,23.21,0.0828,8,0,10
2283,553396.01,121.51325328,37.43317167,45.11,23.19,0.0648,8,0,10
2283,553396.11,121.51325328,37.43317165,45.11,23.2,0.072,8,0,10
2283,553396.21,121.51325327,37.43317164,45.11,23.2,0.0576,8,0.734375,10
2283,553396.31,121.51325323,37.43317161,45.11,23.2,0.054,8,0.2421875,10
2283,553396.41,121.51325326,37.43317163,45.11,23.26,0.558,8,0.7734375,10
2283,553396.51,121.51325337,37.43317184,45.11,23.3,0.8496,8,0.7578125,10
2283,553396.61,121.51325345,37.43317203,45.11,23.3,0.504,8,0.984375,10
2283,553396.71,121.51325348,37.43317214,45.11,23.21,0.8928,8,0.890625,10
2283,553396.81,121.51325354,37.43317231,45.11,23.09,0.9828,8,0.890625,10
2283,553396.91,121.51325365,37.43317252,45.11,23.04,0.8496,8,1.1015625,10
2283,553397.01,121.51325379,37.43317273,45.11,23.06,0.702,8,1.1015625,10
2283,553397.11,121.5132539,37.43317293,45.11,22.99,0.9468,8,1.1015625,10
2283,553397.21,121.51325398,37.43317314,45.11,22.84,1.098,8,1.2109375,10
2283,553397.31,121.5132541,37.43317333,45.12,22.76,1.0512,8,1.25,10
2283,553397.41,121.51325425,37.43317358,45.12,22.72,1.0188,8,1.3671875,10
2283,553397.51,121.51325443,37.43317388,45.12,22.66,1.1484,8,1.5,10
2283,553397.61,121.51325455,37.43317415,45.12,22.54,1.1592,8,1.5,10
2283,553397.71,121.51325465,37.43317445,45.12,22.42,1.3752,8,1.671875,10
2283,553397.81,121.5132548,37.43317479,45.12,22.33,1.5336,8,1.9765625,10
2283,553397.91,121.51325495,37.43317514,45.12,22.19,1.3608,8,1.8984375,10
2283,553398.01,121.51325513,37.4331755,45.12,22.09,1.728,8,2.140625,10
2283,553398.1,121.51325533,37.43317587,45.12,21.98,1.926,8,2.2421875,10
2283,553398.21,121.51325554,37.43317636,45.12,21.79,2.2212,8,2.4453125,10
2283,553398.31,121.51325574,37.43317685,45.12,21.63,1.9908,8,2.578125,10
2283,553398.41,121.51325596,37.43317735,45.12,21.45,2.2536,8,2.8671875,10
2283,553398.51,121.51325619,37.43317787,45.12,21.3,2.3148,8,2.921875,10
2283,553398.61,121.51325643,37.43317846,45.12,21.12,2.754,8,2.8828125,10
2283,553398.71,121.5132567,37.43317906,45.13,20.88,2.6748,8,3.0546875,10
2283,553398.81,121.51325705,37.43317974,45.13,20.78,2.8836,8,3.1328125,10
2283,553398.91,121.51325728,37.4331804,45.13,20.47,3.0996,8,3.25,10
2283,553399.01,121.51325756,37.43318105,45.13,20.17,2.5344,8,3.1328125,10
2283,553399.11,121.51325795,37.43318176,45.13,20.16,2.5704,8,3.2109375,10
2283,553399.21,121.51325824,37.43318245,45.13,20.01,3.2004,8,3.34375,10
2283,553399.31,121.51325825,37.43318283,45.14,19.64,3.438,8,3.3984375,10
2283,553399.41,121.5132585,37.43318354,45.14,19.37,2.9232,8,3.4921875,10
2283,553399.51,121.5132589,37.43318438,45.14,19.33,2.8908,8,3.4765625,10
2283,553399.61,121.51325927,37.43318515,45.14,19.19,3.3804,8,3.609375,10
2283,553399.71,121.51325947,37.43318587,45.14,18.83,3.2904,8,3.859375,10
2283,553399.81,121.51325984,37.43318666,45.14,18.72,3.0456,8,3.875,10
2283,553399.91,121.51326027,37.43318755,45.14,18.72,3.276,8,4.046875,10
2283,553400.01,121.51326056,37.43318839,45.14,18.52,3.906,8,4.1015625,10
2283,553400.11,121.51326087,37.43318917,45.15,18.29,4.0464,8,4.234375,10
2283,553400.21,121.51326115,37.43319007,45.15,18.04,3.5856,8,4.390625,10
2283,553400.31,121.51326171,37.4331912,45.15,18.07,3.4632,8,4.5390625,10
2283,553400.41,121.5132621,37.43319218,45.15,18.03,3.8736,8,4.65625,10
2283,553400.51,121.51326248,37.43319314,45.15,17.88,4.4244,8,4.8984375,10
2283,553400.61,121.51326282,37.43319414,45.15,17.56,4.6764,8,4.9375,10
2283,553400.71,121.51326318,37.43319514,45.15,17.32,4.4172,8,5.0703125,10
2283,553400.81,121.5132636,37.43319627,45.15,17.25,4.3632,8,5.2421875,10
2283,553400.91,121.51326413,37.43319748,45.15,17.28,4.7484,8,5.53125,10
2283,553401.01,121.51326453,37.43319865,45.15,17.1,5.1588,8,5.734375,10
2283,553401.12,121.51326504,37.43319995,45.16,16.96,5.256,8,5.890625,10
2283,553401.21,121.51326544,37.43320107,45.16,16.81,5.3172,8,6.0234375,10
2283,553401.31,121.51326592,37.43320237,45.16,16.69,5.2236,8,6.234375,10
2283,553401.41,121.5132665,37.4332037,45.16,16.73,5.4216,8,6.4609375,10
2283,553401.51,121.51326696,37.43320501,45.17,16.61,5.9436,8,6.609375,10
2283,553401.61,121.51326736,37.43320641,45.17,16.34,6.2172,8,6.8203125,10
2283,553401.71,121.51326787,37.43320785,45.17,16.28,5.9292,8,7.0078125,10
2283,553401.81,121.51326846,37.43320941,45.17,16.35,6.2424,8,7.28125,10
2283,553401.91,121.51326899,37.43321099,45.17,16.25,7.0236,8,7.484375,10
2283,553402.01,121.5132695,37.43321256,45.18,15.92,6.9084,8,7.6171875,10
2283,553402.11,121.51327014,37.43321421,45.18,15.92,6.3432,8,7.8125,10
2283,553402.21,121.51327083,37.43321594,45.18,16.08,6.984,8,8.015625,10
