GPSTime,v
96271.67,4.4272800000000005
96272.67,4.067280000000001
96273.67,4.176
96274.67,4.24404
96275.67,4.10976
96276.67,4.1184
96277.67,4.16772
96278.67,4.17816
96279.67,4.08888
96280.67,4.25952
96281.67,4.2246
96282.67,4.14756
96283.67,4.27428
96284.67,4.226400000000001
96285.67,4.2894
96286.67,4.220280000000001
96287.67,4.216680000000001
96288.67,4.315320000000001
96289.67,4.16556
96290.67,4.257
96291.67,4.2436799999999995
96292.67,4.1274
96293.67,4.30488
96294.67,4.14684
96295.67,4.23864
96296.67,4.18428
96297.67,4.1839200000000005
96298.67,4.19544
96299.67,4.27824
96300.67,4.03344
96301.67,4.278599999999999
96302.67,4.14036
96303.67,4.1893199999999995
96304.67,4.12812
96305.67,4.22748
96306.67,4.106879999999999
96307.67,4.17672
96308.67,4.275360000000001
96309.67,4.139640000000001
96310.67,4.18428
96311.67,4.27284
96312.68,4.1274
96313.67,4.19508
96314.67,4.320000000000001
96315.67,4.203
96316.67,4.0752
96317.67,4.36032
96318.67,4.1745600000000005
96319.67,4.2588
96320.67,4.276439999999999
96321.67,4.2739199999999995
96322.67,4.2321599999999995
96323.67,4.22712
96324.67,4.2768000000000015
96325.67,4.156920000000001
96326.67,4.155120000000001
