GPSTime,v
102643.25,3.7893600000000007
102644.25,3.56976
102645.25,3.3915599999999997
102646.25,3.5258399999999996
102647.25,3.6442800000000006
102648.25,3.5924400000000007
102649.25,3.4776000000000002
102650.25,3.22632
102651.25,3.21084
102652.25,3.1554
102653.25,2.95668
102654.25,2.9599200000000003
102655.25,3.2169600000000003
102656.25,3.29724
102657.25,3.2025600000000005
102658.25,3.32388
102659.25,3.4344
102660.25,3.3768000000000002
102661.25,3.4243200000000003
102662.25,3.56328
102663.25,3.4434000000000005
102664.25,3.51432
102665.25,3.38868
102666.25,3.5406
102667.25,3.39552
102668.25,3.51396
102669.25,3.3426
102670.25,3.4851599999999996
102671.25,3.44304
102672.25,3.5679600000000002
102673.25,3.5442
102674.25,3.5442
102675.25,3.45672
102676.25,3.50748
102677.25,3.6234
102678.25,3.7094400000000007
102679.25,3.5276400000000003
102680.25,3.429
102681.25,3.68388
102682.25,3.6331200000000003
102683.25,3.53664
102684.25,3.4873200000000004
102685.25,3.48048
102686.25,3.7205999999999997
102687.25,3.6925200000000005
102688.25,3.6316800000000002
102689.26,3.5370000000000004
102690.25,3.60864
102691.25,3.75516
102692.26,3.99852
102693.26,4.05324
102694.25,4.06548
102695.25,4.057200000000001
102696.25,4.01508
102697.25,3.9870000000000005
102698.25,3.7526400000000004
102699.26,3.7198800000000007
