GPSTime,v
98234.0,4.221000000000001
98235.0,4.12524
98236.0,3.9132000000000007
98237.0,3.80196
98238.0,4.04748
98239.0,4.0698
98240.0,4.03812
98241.0,3.8771999999999998
98242.0,4.079880000000001
98243.01,4.05072
98244.0,3.9974399999999997
98245.01,3.9168000000000007
98246.0,3.9509999999999996
98247.0,4.04208
98248.0,4.04244
98249.0,3.9204000000000008
98250.0,3.8685599999999996
98251.0,3.9582
98252.01,3.89196
98253.0,3.7508399999999993
98254.0,3.93048
98255.0,3.99312
98256.0,3.95136
98257.0,3.96072
98258.0,3.80304
98259.0,3.948480000000001
98260.01,3.9340800000000002
98261.0,3.6392399999999996
98262.0,3.5492399999999997
98263.0,3.74148
98264.0,3.82824
98265.0,3.6493200000000003
98266.0,3.61008
98267.0,3.3822
98268.0,3.61404
98269.0,3.40668
98270.01,3.38328
