GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,v,cmd_v,car_v,shiftLevel,均值,方差,标准差,均方根误差
2284.0,96094.26,121.51387343,37.43439573,45.94,199.82,4.0428,4,4.234375,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
2284.0,96094.36,121.513873,37.4343948,45.94,199.79,3.9672000000000014,4,4.234375,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
2284.0,96094.46,121.51387261,37.43439383,45.94,199.58,3.7944,4,4.21875,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
2284.0,96094.56,121.51387225,37.43439287,45.94,199.52,4.1328,4,4.21875,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
2284.0,96094.66,121.51387186,37.43439187,45.94,199.41,3.938400000000001,4,4.1796875,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
2284.0,96094.76,121.51387151,37.43439087,45.94,199.38,4.4568,4,4.1953125,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
2284.0,96094.86,121.51387112,37.43438991,45.94,199.4,4.1796000000000015,4,4.15625,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
2284.0,96094.96,121.51387076,37.43438892,45.93,199.31,4.3596,4,4.15625,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
2284.0,96095.06,121.51387035,37.43438799,45.94,199.37,4.0608,4,4.15625,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
2284.0,96095.16,121.51386998,37.43438702,45.93,199.15,3.8268,4,4.125,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
2284.0,96095.26,121.51386956,37.43438610000001,45.94,199.15,3.762,4,4.125,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
2284.0,96095.36,121.51386923,37.43438511,45.93,198.88,3.5604,4,4.125,3,3.8490446748350613,0.04067077610029487,0.20166996826571593,0.2519092818773203
