GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,v,cmd_v,car_v,shiftLevel
2284.0,97336.54,121.5133274,37.4332934,45.49,78.5,0.16920000000000002,4,0.0703125,3
2284.0,97336.56,121.51332739,37.43329339,45.49,78.5,0.15839999999999999,4,0.1484375,3
2284.0,97336.64,121.51332736,37.43329338,45.49,78.48,0.1656,4,0.1875,3
2284.0,97336.75,121.51332729,37.43329337,45.49,78.45,0.2124,4,0.203125,3
2284.0,97336.85,121.51332725,37.43329336,45.49,78.43,0.2016,4,0.203125,3
2284.0,97336.94,121.51332719,37.43329335,45.49,78.41,0.16920000000000002,4,0.203125,3
2284.0,97337.04,121.51332713,37.43329334,45.49,78.39,0.2088,4,0.203125,3
2284.0,97337.14,121.51332708,37.43329332,45.49,78.38,0.198,4,0.1875,3
2284.0,97337.25,121.51332703,37.4332933,45.49,78.36,0.16920000000000002,4,0.1875,3
2284.0,97337.35,121.51332697,37.43329329,45.49,78.35,0.1944,4,0.1640625,3
2284.0,97337.45,121.51332692,37.43329328,45.49,78.34,0.18359999999999999,4,0.1640625,3
2284.0,97337.54,121.51332688,37.43329327,45.49,78.33,0.1368,4,0.1640625,3
2284.0,97337.64,121.51332684,37.43329326,45.49,78.3,0.1368,4,0.1484375,3
2284.0,97337.74,121.51332683,37.43329326,45.49,78.3,0.0216,4,0.1484375,3
2284.0,97337.85,121.51332687,37.43329326,45.49,78.32,0.1404,4,0.0,3
2284.0,97337.95,121.51332688,37.43329326,45.49,78.32,0.0756,4,0.0,3
2284.0,97338.04,121.51332689,37.43329325,45.49,78.33,0.0648,4,0.0,3
2284.0,97338.14,121.51332687,37.43329324,45.49,78.33,0.07200000000000001,4,0.0,3
2284.0,97338.24,121.51332686,37.43329323,45.49,78.32,0.0648,4,0.0,3
2284.0,97338.35,121.51332685,37.43329323,45.49,78.32,0.018000000000000002,4,0.0,3
2284.0,97338.45,121.51332686,37.43329322,45.49,78.33,0.07200000000000001,4,0.0,3
2284.0,97338.54,121.51332685,37.43329322,45.5,78.31,0.061200000000000004,4,0.0,3
2284.0,97338.64,121.51332685,37.43329321,45.5,78.32,0.0756,4,0.0,3
2284.0,97338.74,121.51332685,37.4332932,45.5,78.34,0.054,4,0.0,3
2284.0,97338.85,121.51332685,37.4332932,45.5,78.33,0.0108,4,0.0,3
2284.0,97338.95,121.51332685,37.4332932,45.5,78.33,0.0324,4,0.0,3
2284.0,97339.05,121.51332685,37.4332932,45.5,78.33,0.0468,4,0.0,3
2284.0,97339.14,121.51332684,37.43329319,45.5,78.32,0.036000000000000004,4,0.0,3
2284.0,97339.24,121.51332685,37.43329319,45.5,78.33,0.054,4,0.0,3
2284.0,97339.35,121.51332684,37.43329318,45.5,78.34,0.039599999999999996,4,0.0,3
2284.0,97339.45,121.51332684,37.43329318,45.5,78.34,0.0252,4,0.0,3
2284.0,97339.54,121.51332684,37.43329318,45.5,78.33,0.039599999999999996,4,0.0,3
2284.0,97339.64,121.51332684,37.43329318,45.5,78.34,0.0324,4,0.0,3
2284.0,97339.75,121.51332684,37.43329317,45.5,78.33,0.0468,4,0.0,3
2284.0,97339.85,121.51332684,37.43329317,45.5,78.35,0.0468,4,0.0,3
2284.0,97339.94,121.51332684,37.43329316,45.5,78.35,0.0684,4,0.0,3
2284.0,97340.04,121.51332684,37.43329317,45.5,78.33,0.028800000000000003,4,0.0,3
2284.0,97340.15,121.51332683,37.43329316,45.5,78.34,0.039599999999999996,4,0.0,3
2284.0,97340.25,121.51332683,37.43329316,45.5,78.34,0.0432,4,0.0,3
2284.0,97340.34,121.51332682,37.43329316,45.5,78.34,0.036000000000000004,4,0.0,3
2284.0,97340.44,121.51332683,37.43329316,45.5,78.34,0.0468,4,0.0,3
2284.0,97340.54,121.51332682,37.43329315,45.5,78.34,0.0432,4,0.0,3
2284.0,97340.65,121.51332683,37.43329315,45.5,78.34,0.028800000000000003,4,0.0,3
2284.0,97340.75,121.51332682,37.43329315,45.5,78.34,0.039599999999999996,4,0.0,3
2284.0,97340.84,121.51332683,37.43329315,45.5,78.34,0.036000000000000004,4,0.0,3
2284.0,97340.94,121.51332682,37.43329314,45.5,78.34,0.0324,4,0.0,3
2284.0,97341.04,121.51332682,37.43329315,45.5,78.34,0.0432,4,0.0,3
2284.0,97341.15,121.51332681,37.43329314,45.5,78.35,0.039599999999999996,4,0.0,3
2284.0,97341.25,121.51332681,37.43329315,45.5,78.34,0.028800000000000003,4,0.0,3
2284.0,97341.35,121.51332681,37.43329314,45.5,78.34,0.0432,4,0.0,3
2284.0,97341.44,121.51332681,37.43329315,45.5,78.34,0.0324,4,0.0,3
2284.0,97341.54,121.5133268,37.43329314,45.5,78.34,0.0504,4,0.0,3
2284.0,97341.65,121.5133268,37.43329315,45.5,78.35,0.039599999999999996,4,0.0,3
2284.0,97341.75,121.5133268,37.43329314,45.5,78.35,0.039599999999999996,4,0.0,3
2284.0,97341.84,121.51332679,37.43329315,45.5,78.35,0.039599999999999996,4,0.0,3
2284.0,97341.94,121.51332679,37.43329314,45.5,78.35,0.0324,4,0.0,3
2284.0,97342.04,121.51332679,37.43329315,45.5,78.35,0.028800000000000003,4,0.0,3
2284.0,97342.14,121.51332679,37.43329315,45.5,78.35,0.0432,4,0.0,3
2284.0,97342.25,121.51332679,37.43329316,45.5,78.35,0.0324,4,0.1484375,3
2284.0,97342.35,121.51332678,37.43329315,45.5,78.35,0.036000000000000004,4,0.2421875,3
2284.0,97342.45,121.51332678,37.43329316,45.5,78.34,0.018000000000000002,4,0.3984375,3
2284.0,97342.54,121.51332683,37.43329316,45.5,78.35,0.2736,4,0.53125,3
2284.0,97342.64,121.51332697,37.43329318,45.5,78.4,0.5472,4,0.734375,3
