GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,v,cmd_v,car_v,shiftLevel
2284.0,98219.04,121.51166124,37.43500645,39.4,271.2,0.0756,4,0.0,3
2284.0,98219.06,121.51166124,37.43500645,39.4,271.2,0.0972,4,0.0,3
2284.0,98219.1,121.51166123,37.43500645,39.4,271.21,0.0972,4,0.0,3
2284.0,98219.2,121.5116612,37.43500645,39.4,271.21,0.09000000000000001,4,0.0,3
2284.0,98219.3,121.51166118,37.43500646,39.4,271.21,0.0684,4,0.3359375,3
2284.0,98219.4,121.51166116,37.43500646,39.4,271.21,0.0468,4,0.0,3
2284.0,98219.5,121.51166112,37.43500646,39.4,271.22,0.054,4,0.0,3
2284.0,98219.6,121.51166111,37.43500646,39.4,271.21,0.0684,4,0.0,3
2284.0,98219.7,121.51166111,37.43500646,39.4,271.21,0.0324,4,0.0,3
2284.0,98219.8,121.51166111,37.43500646,39.4,271.22,0.014400000000000001,4,0.0,3
2284.0,98219.9,121.51166111,37.43500646,39.4,271.22,0.0216,4,0.0,3
2284.0,98219.99,121.5116611,37.43500646,39.4,271.22,0.0324,4,0.0,3
2284.0,98220.1,121.5116611,37.43500646,39.4,271.23,0.007200000000000001,4,0.0,3
2284.0,98220.2,121.5116611,37.43500646,39.4,271.23,0.039599999999999996,4,0.0,3
2284.0,98220.3,121.51166111,37.43500646,39.4,271.22,0.014400000000000001,4,0.0,3
2284.0,98220.4,121.5116611,37.43500646,39.4,271.22,0.007200000000000001,4,0.0,3
2284.0,98220.5,121.5116611,37.43500646,39.4,271.23,0.0108,4,0.0,3
2284.0,98220.6,121.5116611,37.43500646,39.4,271.22,0.0252,4,0.0,3
2284.0,98220.7,121.5116611,37.43500646,39.4,271.23,0.007200000000000001,4,0.0,3
2284.0,98220.8,121.5116611,37.43500645,39.4,271.22,0.036000000000000004,4,0.0,3
2284.0,98220.9,121.51166111,37.43500645,39.4,271.22,0.0864,4,0.0,3
2284.0,98221.0,121.5116611,37.43500646,39.4,271.24,0.09000000000000001,4,0.0,3
2284.0,98221.1,121.51166108,37.43500646,39.4,271.26,0.054,4,0.0,3
2284.0,98221.2,121.51166109,37.43500645,39.4,271.22,0.1008,4,0.0,3
2284.0,98221.3,121.5116611,37.43500644,39.4,271.22,0.018000000000000002,4,0.0,3
2284.0,98221.39,121.5116611,37.43500645,39.4,271.24,0.0468,4,0.0,3
2284.0,98221.5,121.51166109,37.43500645,39.4,271.24,0.0504,4,0.0,3
2284.0,98221.6,121.51166109,37.43500645,39.4,271.24,0.007200000000000001,4,0.0,3
2284.0,98221.7,121.51166109,37.43500645,39.4,271.24,0.028800000000000003,4,0.0,3
2284.0,98221.8,121.51166109,37.43500645,39.4,271.23,0.028800000000000003,4,0.0,3
2284.0,98221.9,121.51166109,37.43500645,39.4,271.23,0.0036000000000000003,4,0.0,3
2284.0,98222.0,121.51166109,37.43500645,39.4,271.24,0.0108,4,0.0,3
2284.0,98222.1,121.51166109,37.43500645,39.4,271.23,0.0252,4,0.0,3
2284.0,98222.2,121.51166109,37.43500645,39.4,271.24,0.0216,4,0.0,3
2284.0,98222.3,121.51166108,37.43500645,39.4,271.25,0.014400000000000001,4,0.0,3
2284.0,98222.4,121.51166108,37.43500645,39.4,271.24,0.0252,4,0.0,3
2284.0,98222.49,121.51166109,37.43500644,39.4,271.24,0.0216,4,0.0,3
2284.0,98222.6,121.51166108,37.43500645,39.4,271.24,0.014400000000000001,4,0.0,3
2284.0,98222.7,121.51166109,37.43500645,39.4,271.24,0.0216,4,0.0,3
2284.0,98222.8,121.51166108,37.43500645,39.4,271.24,0.014400000000000001,4,0.0,3
2284.0,98222.9,121.51166108,37.43500645,39.4,271.25,0.014400000000000001,4,0.0,3
2284.0,98223.0,121.51166108,37.43500645,39.4,271.25,0.018000000000000002,4,0.0,3
2284.0,98223.1,121.51166108,37.43500645,39.4,271.25,0.0432,4,0.0,3
2284.0,98223.2,121.51166108,37.43500644,39.4,271.25,0.0216,4,0.0,3
2284.0,98223.3,121.51166108,37.43500644,39.4,271.25,0.0468,4,0.0,3
2284.0,98223.4,121.51166108,37.43500645,39.4,271.25,0.0108,4,0.0,3
2284.0,98223.5,121.51166108,37.43500645,39.4,271.26,0.028800000000000003,4,0.0,3
2284.0,98223.6,121.51166108,37.43500644,39.4,271.25,0.0216,4,0.0,3
2284.0,98223.7,121.51166107,37.43500644,39.4,271.26,0.014400000000000001,4,0.0,3
2284.0,98223.8,121.51166107,37.43500644,39.4,271.26,0.0324,4,0.0,3
2284.0,98223.9,121.51166108,37.43500644,39.4,271.25,0.018000000000000002,4,0.0,3
2284.0,98224.0,121.51166107,37.43500644,39.4,271.26,0.014400000000000001,4,0.0,3
2284.0,98224.1,121.51166108,37.43500644,39.4,271.26,0.0324,4,0.0,3
2284.0,98224.2,121.51166107,37.43500644,39.4,271.26,0.028800000000000003,4,0.0,3
2284.0,98224.3,121.51166107,37.43500644,39.4,271.26,0.014400000000000001,4,0.0,3
2284.0,98224.4,121.51166107,37.43500644,39.4,271.26,0.0432,4,0.0,3
2284.0,98224.5,121.51166107,37.43500644,39.4,271.26,0.018000000000000002,4,0.0,3
2284.0,98224.6,121.51166107,37.43500644,39.4,271.26,0.014400000000000001,4,0.0,3
2284.0,98224.7,121.51166107,37.43500644,39.4,271.26,0.0468,4,0.0,3
2284.0,98224.8,121.51166107,37.43500643,39.4,271.26,0.018000000000000002,4,0.7734375,3
2284.0,98224.9,121.51166106,37.43500644,39.4,271.26,0.057600000000000005,4,0.9296875,3
2284.0,98225.0,121.51166105,37.43500644,39.4,271.27,0.1296,4,0.90625,3
2284.0,98225.1,121.51166082,37.43500647,39.41,271.4,0.8856,4,1.1171875,3
2284.0,98225.2,121.51166039,37.43500646,39.4,271.43,1.6164,4,1.3671875,3
2284.0,98225.3,121.51165999,37.43500647,39.4,271.45,1.6956,4,1.3828125,3
2284.0,98225.4,121.51165951,37.43500648,39.4,271.42,1.53,4,1.4375,3
2284.0,98225.5,121.51165904,37.43500648,39.4,271.42,1.5048,4,1.515625,3
2284.0,98225.6,121.51165855,37.43500651,39.4,271.48,1.548,4,1.59375,3
2284.0,98225.7,121.5116581,37.43500654,39.4,271.53,1.4148,4,1.671875,3
2284.0,98225.8,121.51165764,37.43500655,39.4,271.57,1.4256000000000002,4,1.7421875,3
2284.0,98225.9,121.5116572,37.43500658,39.4,271.52,1.53,4,1.8046875,3
2284.0,98226.0,121.51165668,37.43500658,39.4,271.5,1.8432000000000002,4,1.8984375,3
2284.0,98226.1,121.51165606,37.43500658,39.4,271.56,1.9296000000000002,4,1.953125,3
2284.0,98226.2,121.51165545,37.43500662,39.4,271.64,2.0303999999999998,4,2.046875,3
2284.0,98226.3,121.51165477,37.43500662,39.39,271.66,2.1168,4,2.125,3
2284.0,98226.4,121.51165415,37.43500664,39.39,271.6,2.0808,4,2.21875,3
2284.0,98226.5,121.51165343,37.43500668,39.39,271.68,2.0591999999999997,4,2.3125,3
2284.0,98226.6,121.51165276,37.4350067,39.39,271.67,2.2788,4,2.4140625,3
2284.0,98226.7,121.51165205,37.43500675,39.39,271.72,2.2068,4,2.484375,3
2284.0,98226.8,121.51165131,37.43500675,39.39,271.69,2.5884,4,2.578125,3
2284.0,98226.9,121.51165054,37.43500677,39.39,271.72,2.556,4,2.6796875,3
2284.0,98227.0,121.5116497,37.43500682,39.38,271.82,2.5884,4,2.7890625,3
2284.0,98227.1,121.5116488,37.43500681,39.38,271.77,2.9232000000000005,4,2.90625,3
2284.0,98227.2,121.51164792,37.43500685,39.38,271.78,2.8584,4,3.0,3
2284.0,98227.3,121.51164695,37.4350069,39.37,271.85,2.7504,4,3.09375,3
2284.0,98227.4,121.51164601,37.43500691,39.37,271.89,3.1176,4,3.1875,3
2284.0,98227.5,121.51164515,37.43500696,39.37,271.88,3.4272,4,3.2890625,3
