GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,v,cmd_v,control_mode,shiftLevel
2284.0,370083.45,121.51295615,37.43351624,44.74,0.27,0.007200000000000001,3,0.0,3
2284.0,370083.51,121.51295615,37.43351624,44.74,0.27,0.0108,3,0.0,3
2284.0,370083.53,121.51295615,37.43351624,44.74,0.27,0.0036000000000000003,3,0.0,3
2284.0,370083.62,121.51295615,37.43351624,44.74,0.27,0.0036000000000000003,3,0.0,3
2284.0,370083.71,121.51295615,37.43351624,44.74,0.27,0.018000000000000002,3,0.0,3
2284.0,370083.81,121.51295615,37.43351624,44.74,0.27,0.0108,3,0.0,3
2284.0,370083.91,121.51295614,37.43351624,44.74,0.27,0.0108,3,0.0,3
2284.0,370084.01,121.51295614,37.43351624,44.74,0.27,0.018000000000000002,3,0.0,3
2284.0,370084.11,121.51295614,37.43351624,44.74,0.27,0.014400000000000001,3,0.0,3
2284.0,370084.21,121.51295614,37.43351624,44.74,0.27,0.0108,3,0.0,3
2284.0,370084.31,121.51295613,37.43351624,44.74,0.27,0.014400000000000001,3,0.0,3
2284.0,370084.41,121.51295613,37.43351624,44.74,0.27,0.0216,3,0.0,3
2284.0,370084.51,121.51295613,37.43351624,44.74,0.27,0.0108,3,0.0,3
2284.0,370084.61,121.51295613,37.43351624,44.74,0.27,0.014400000000000001,3,0.0,3
2284.0,370084.71,121.51295613,37.43351624,44.74,0.27,0.0216,3,0.0,3
2284.0,370084.81,121.51295613,37.43351624,44.74,0.27,0.014400000000000001,3,0.0,3
2284.0,370084.92,121.51295613,37.43351624,44.74,0.27,0.0036000000000000003,3,0.0,3
2284.0,370085.01,121.51295613,37.43351624,44.74,0.27,0.007200000000000001,3,0.0,3
2284.0,370085.11,121.51295614,37.43351625,44.74,0.28,0.028800000000000003,3,0.0,3
2284.0,370085.21,121.51295613,37.43351624,44.74,0.28,0.0432,3,0.0,3
2284.0,370085.31,121.51295613,37.43351623,44.74,0.27,0.028800000000000003,3,0.0,3
2284.0,370085.41,121.51295613,37.43351624,44.74,0.28,0.0324,3,0.0,3
2284.0,370085.51,121.51295613,37.43351624,44.74,0.28,0.0216,3,0.0,3
2284.0,370085.61,121.51295613,37.43351623,44.74,0.28,0.0252,3,0.0,3
2284.0,370085.71,121.51295613,37.43351624,44.74,0.28,0.014400000000000001,3,0.0,3
2284.0,370085.81,121.51295612,37.43351624,44.74,0.28,0.0216,3,0.0,3
2284.0,370085.91,121.51295612,37.43351624,44.74,0.27,0.028800000000000003,3,0.0,3
2284.0,370086.01,121.51295612,37.43351624,44.74,0.28,0.028800000000000003,3,0.0,3
2284.0,370086.11,121.51295612,37.43351624,44.74,0.28,0.014400000000000001,3,0.0,3
2284.0,370086.21,121.51295612,37.43351623,44.74,0.27,0.036000000000000004,3,0.0,3
2284.0,370086.31,121.51295611,37.43351624,44.75,0.27,0.0216,3,0.0,3
2284.0,370086.41,121.51295611,37.43351623,44.75,0.27,0.014400000000000001,3,0.71875,3
2284.0,370086.51,121.51295611,37.43351623,44.75,0.27,0.036000000000000004,3,1.1953125,3
2284.0,370086.61,121.51295612,37.43351624,44.75,0.31,0.014400000000000001,3,1.2109375,3
2284.0,370086.71,121.51295618,37.43351634,44.75,0.5,1.1196,3,1.3046875,3
2284.0,370086.81,121.51295618,37.43351668,44.75,0.49,1.8864,3,1.3671875,3
2284.0,370086.91,121.51295613,37.43351712,44.75,0.2,1.8432000000000002,3,1.40625,3
2284.0,370087.01,121.51295609,37.4335175,44.75,0.01,1.2491999999999999,3,1.4609375,3
2284.0,370087.11,121.51295603,37.43351781,44.75,359.83,1.0295999999999998,3,1.5,3
2284.0,370087.21,121.512956,37.43351806,44.75,359.72,1.0548,3,1.5390625,3
2284.0,370087.31,121.5129559,37.43351826,44.75,359.59,0.9684,3,1.59375,3
2284.0,370087.41,121.51295589,37.43351854,44.75,359.55,1.2240000000000002,3,1.6328125,3
2284.0,370087.51,121.5129559,37.43351894,44.75,359.51,1.5984,3,1.6875,3
2284.0,370087.61,121.51295592,37.43351938,44.76,359.44,1.8144,3,1.7265625,3
2284.0,370087.71,121.51295591,37.43351985,44.75,359.27,1.9476000000000002,3,1.78125,3
2284.0,370087.81,121.51295592,37.43352028,44.76,359.1,1.5011999999999999,3,1.84375,3
2284.0,370087.91,121.51295586,37.43352066,44.76,358.87,1.4328,3,1.8984375,3
2284.0,370088.01,121.5129558,37.43352104,44.76,358.64,1.6812,3,1.9375,3
2284.0,370088.11,121.51295574,37.43352145,44.76,358.44,1.9008,3,1.9765625,3
2284.0,370088.21,121.5129557,37.43352193,44.76,358.34,1.9836000000000003,3,2.03125,3
2284.0,370088.31,121.51295569,37.43352247,44.76,358.38,1.9800000000000002,3,2.0859375,3
2284.0,370088.41,121.51295563,37.43352297,44.76,358.27,2.124,3,2.109375,3
2284.0,370088.52,121.51295562,37.43352355,44.76,358.14,2.052,3,2.140625,3
2284.0,370088.62,121.51295557,37.43352405,44.75,357.93,2.0232,3,2.1796875,3
2284.0,370088.71,121.51295554,37.43352449,44.76,357.83,1.7928,3,2.203125,3
2284.0,370088.81,121.5129555,37.43352498,44.76,357.79,2.1168,3,2.2421875,3
2284.0,370088.91,121.51295543,37.43352548,44.76,357.66,2.1456,3,2.2578125,3
2284.0,370089.01,121.5129554,37.43352601,44.76,357.56,2.0987999999999998,3,2.28125,3
2284.0,370089.12,121.51295533,37.4335266,44.76,357.41,2.0664,3,2.296875,3
2284.0,370089.21,121.5129553,37.43352707,44.76,357.32,2.0376,3,2.3125,3
2284.0,370089.31,121.51295515,37.43352757,44.76,357.16,2.2068,3,2.3125,3
2284.0,370089.41,121.51295509,37.43352814,44.75,357.14,2.2248,3,2.3359375,3
2284.0,370089.51,121.51295502,37.43352872,44.76,357.18,2.196,3,2.3515625,3
2284.0,370089.61,121.51295495,37.43352924,44.76,357.06,2.1708,3,2.375,3
2284.0,370089.71,121.5129549,37.4335298,44.76,356.92,2.178,3,2.375,3
2284.0,370089.81,121.51295491,37.43353039,44.75,356.83,2.3364000000000003,3,2.375,3
2284.0,370089.91,121.51295489,37.43353097,44.75,356.74,2.1744,3,2.390625,3
2284.0,370090.01,121.5129549,37.43353153,44.76,356.69,2.2752,3,2.390625,3
2284.0,370090.11,121.51295486,37.43353212,44.76,356.6,2.4732000000000003,3,2.4140625,3
2284.0,370090.21,121.51295485,37.43353274,44.75,356.52,2.4444000000000004,3,2.4296875,3
2284.0,370090.31,121.51295484,37.43353337,44.75,356.47,2.4408000000000003,3,2.4453125,3
2284.0,370090.41,121.5129548,37.43353394,44.75,356.35,2.2428,3,2.4453125,3
2284.0,370090.52,121.51295479,37.43353461,44.76,356.25,2.25,3,2.46875,3
2284.0,370090.61,121.5129548,37.4335351,44.75,356.12,1.9872000000000003,3,2.484375,3
2284.0,370090.71,121.51295477,37.43353567,44.75,355.96,2.2248,3,2.484375,3
2284.0,370090.81,121.5129548,37.43353625,44.75,355.98,2.3508,3,2.5078125,3
2284.0,370090.91,121.51295477,37.43353684,44.76,356.0,2.3868,3,2.5078125,3
2284.0,370091.02,121.51295469,37.43353748,44.75,355.91,2.5776,3,2.5234375,3
2284.0,370091.11,121.51295464,37.43353807,44.75,355.94,2.502,3,2.5234375,3
2284.0,370091.21,121.51295449,37.43353866,44.75,355.98,2.3400000000000003,3,2.546875,3
2284.0,370091.31,121.51295435,37.43353927,44.75,356.1,2.2356000000000003,3,2.546875,3
2284.0,370091.41,121.51295422,37.43353987,44.74,356.2,2.4192,3,2.546875,3
2284.0,370091.51,121.51295399,37.43354039,44.74,356.12,2.4336,3,2.546875,3
2284.0,370091.61,121.51295385,37.43354094,44.74,356.06,2.4480000000000004,3,2.5625,3
2284.0,370091.71,121.51295373,37.43354154,44.74,356.06,2.1311999999999998,3,2.5625,3
2284.0,370091.81,121.51295369,37.4335421,44.74,355.97,2.286,3,2.5625,3
2284.0,370091.91,121.51295369,37.43354271,44.75,355.86,2.538,3,2.578125,3
2284.0,370092.01,121.51295366,37.43354336,44.75,355.81,2.7036000000000002,3,2.6015625,3
2284.0,370092.11,121.5129536,37.43354396,44.75,355.7,2.394,3,2.6171875,3
2284.0,370092.21,121.5129536,37.43354461,44.75,355.73,2.502,3,2.640625,3
2284.0,370092.31,121.51295353,37.4335453,44.75,355.7,2.7684,3,2.6796875,3
2284.0,370092.41,121.51295342,37.43354595,44.74,355.61,2.6244,3,2.6953125,3
2284.0,370092.52,121.51295332,37.43354665,44.74,355.58,2.6352,3,2.71875,3
2284.0,370092.61,121.51295321,37.43354726,44.74,355.57,2.7432000000000003,3,2.734375,3
2284.0,370092.71,121.51295311,37.43354793,44.74,355.53,2.5776,3,2.75,3
2284.0,370092.81,121.51295305,37.43354858,44.74,355.54,2.5704,3,2.7734375,3
2284.0,370092.91,121.51295286,37.43354918,44.74,355.43,2.826,3,2.7890625,3
2284.0,370093.02,121.51295271,37.43354986,44.74,355.33,2.4768,3,2.8125,3
2284.0,370093.11,121.51295266,37.43355046,44.74,355.46,2.3256,3,2.7890625,3
2284.0,370093.21,121.51295256,37.43355106,44.73,355.38,2.5524,3,2.8125,3
2284.0,370093.31,121.51295249,37.43355171,44.74,355.33,2.7468,3,2.8125,3
2284.0,370093.41,121.51295243,37.43355238,44.74,355.31,2.7432000000000003,3,2.828125,3
2284.0,370093.51,121.5129524,37.43355303,44.74,355.25,2.4696000000000002,3,2.828125,3
2284.0,370093.61,121.51295235,37.43355367,44.74,355.21,2.6532,3,2.828125,3
2284.0,370093.71,121.51295231,37.43355438,44.74,355.27,2.6784,3,2.8515625,3
2284.0,370093.81,121.51295228,37.43355503,44.74,355.25,2.3724000000000003,3,2.828125,3
2284.0,370093.91,121.51295223,37.43355566,44.74,355.23,2.7252,3,2.8515625,3
2284.0,370094.01,121.51295212,37.43355634,44.74,355.21,2.8908,3,2.8515625,3
2284.0,370094.11,121.512952,37.43355699,44.74,355.19,2.4947999999999997,3,2.8515625,3
2284.0,370094.21,121.51295188,37.4335576,44.74,355.12,2.5164,3,2.828125,3
2284.0,370094.31,121.51295175,37.43355829,44.74,355.04,2.7396000000000003,3,2.828125,3
2284.0,370094.41,121.51295163,37.43355898,44.74,355.01,2.6496,3,2.8125,3
2284.0,370094.51,121.51295151,37.43355963,44.74,354.89,2.7612,3,2.8125,3
2284.0,370094.61,121.51295142,37.43356033,44.74,354.87,2.8764000000000003,3,2.8125,3
2284.0,370094.71,121.51295136,37.43356105,44.74,354.9,2.9088000000000003,3,2.8125,3
2284.0,370094.81,121.51295128,37.43356176,44.74,354.92,2.6784,3,2.7890625,3
2284.0,370094.91,121.51295115,37.43356246,44.74,354.92,2.7972,3,2.7890625,3
2284.0,370095.01,121.51295106,37.43356314,44.74,354.98,2.7432000000000003,3,2.7734375,3
2284.0,370095.11,121.51295089,37.43356377,44.74,354.91,2.718,3,2.7734375,3
