GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,v,cmd_v,control_mode,shiftLevel
2284.0,366701.77,121.51294270000001,37.43341572,44.75,3.07,0.7632,5,0,10
2284.0,366701.79,121.51294270000001,37.43341576,44.75,3.07,0.7632,5,0,10
2284.0,366701.81,121.51294269,37.4334158,44.75,3.07,0.7884,5,0,10
2284.0,366701.83,121.51294269,37.43341584,44.75,3.07,0.8028000000000001,5,0,10
2284.0,366701.85,121.51294267,37.43341588,44.75,3.07,0.8244,5,0,10
2284.0,366701.87,121.51294267,37.43341592,44.75,3.08,0.8568,5,0,10
2284.0,366701.89,121.51294267,37.43341596,44.75,3.08,0.8676,5,0,10
2284.0,366701.91,121.51294267,37.43341601,44.75,3.08,0.9072,5,0,10
2284.0,366701.93,121.51294266,37.43341605,44.75,3.08,0.9144,5,0,10
2284.0,366701.95,121.51294266,37.4334161,44.75,3.08,0.9288,5,0,10
2284.0,366701.97,121.51294265,37.43341614,44.75,3.08,0.9432,5,0,10
2284.0,366701.99,121.51294265,37.43341619,44.75,3.07,0.9612,5,0,10
2284.0,366702.01,121.51294264,37.43341624,44.75,3.07,1.0080000000000002,5,0,10
2284.0,366702.03,121.51294263,37.43341629,44.75,3.07,1.0295999999999998,5,0,10
2284.0,366702.05,121.51294262,37.43341634,44.75,3.07,1.0872,5,0,10
2284.0,366702.07,121.51294261,37.4334164,44.75,3.08,1.1124,5,0,10
2284.0,366702.09,121.51294261,37.43341646,44.75,3.08,1.1628,5,0,10
2284.0,366702.11,121.51294261,37.43341652,44.75,3.09,1.2096,5,0,10
2284.0,366702.13,121.5129426,37.43341658,44.75,3.1,1.242,5,0,10
2284.0,366702.15,121.5129426,37.43341664,44.75,3.11,1.3032,5,0,10
2284.0,366702.17,121.5129426,37.43341671,44.75,3.12,1.3608,5,0,10
2284.0,366702.19,121.5129426,37.43341678,44.75,3.13,1.4688,5,0,10
2284.0,366702.21,121.51294261,37.43341685,44.75,3.15,1.5624,5,0,10
2284.0,366702.23,121.51294259,37.43341694,44.75,3.17,1.6740000000000002,5,0,10
2284.0,366702.25,121.5129426,37.43341703,44.76,3.19,1.7532,5,0,10
2284.0,366702.27,121.5129426,37.43341712,44.76,3.2,1.8216,5,0,10
2284.0,366702.29,121.51294261,37.43341721,44.76,3.21,1.9332000000000005,5,0,10
2284.0,366702.31,121.51294261,37.43341731,44.76,3.23,2.0304,5,0,10
2284.0,366702.33,121.51294262,37.43341741,44.76,3.25,2.1384,5,0,10
2284.0,366702.35,121.51294262,37.43341752,44.76,3.26,2.1888,5,0,10
2284.0,366702.37,121.51294262,37.43341763,44.76,3.27,2.2788,5,0,10
2284.0,366702.39,121.51294262,37.43341775,44.76,3.28,2.3544,5,0,10
2284.0,366702.41,121.51294262,37.43341787,44.76,3.28,2.4264,5,0,10
2284.0,366702.43,121.51294259,37.433417999999996,44.75,3.28,2.5236,5,0,10
2284.0,366702.45,121.51294259,37.43341813,44.75,3.29,2.5956,5,0,10
2284.0,366702.47,121.51294258,37.43341826,44.75,3.3,2.6748,5,0,10
2284.0,366702.49,121.51294258,37.43341839,44.75,3.31,2.682,5,0,10
2284.0,366702.51,121.51294257,37.43341853,44.75,3.31,2.7036,5,0,10
2284.0,366702.53,121.51294256,37.43341866,44.75,3.29,2.7648,5,0,10
2284.0,366702.55,121.51294255,37.43341881,44.75,3.29,2.9268,5,0,10
2284.0,366702.57,121.51294256,37.43341896,44.75,3.33,3.1428000000000003,5,0,10
2284.0,366702.59,121.51294257,37.43341912,44.76,3.37,3.2256,5,0,10
2284.0,366702.61,121.51294258,37.43341928,44.76,3.4,3.2472000000000003,5,0,10
2284.0,366702.63,121.51294254,37.43341944,44.75,3.39,3.2616,5,0,10
2284.0,366702.65,121.51294253,37.43341961,44.75,3.38,3.402,5,0,10
2284.0,366702.67,121.51294253,37.43341978,44.75,3.41,3.5856,5,0,10
2284.0,366702.69,121.51294254,37.43341997,44.75,3.45,3.7368,5,0,10
2284.0,366702.71,121.51294254,37.43342016,44.75,3.5,3.8016,5,0,10
2284.0,366702.73,121.51294254,37.43342034,44.75,3.5,3.7872,5,0,10
2284.0,366702.75,121.51294252,37.43342053,44.75,3.48,3.8376,5,0,10
2284.0,366702.77,121.51294251,37.43342073,44.75,3.46,3.938400000000001,5,0,10
2284.0,366702.79,121.51294251,37.43342093,44.75,3.45,4.1292,5,0,10
2284.0,366702.81,121.51294252,37.43342114,44.75,3.47,4.2624,5,0,10
2284.0,366702.83,121.51294251,37.43342137,44.75,3.49,4.3344,5,0,10
2284.0,366702.85,121.51294254,37.43342158,44.75,3.51,4.3740000000000006,5,0,10
2284.0,366702.87,121.51294257,37.4334218,44.75,3.52,4.4460000000000015,5,0,10
2284.0,366702.89,121.5129426,37.43342203,44.75,3.54,4.5792,5,0,10
2284.0,366702.91,121.51294263,37.43342226,44.75,3.55,4.6728000000000005,5,0,10
2284.0,366702.93,121.51294264,37.43342249,44.75,3.54,4.7556,5,0,10
2284.0,366702.95,121.51294266,37.43342273,44.75,3.52,4.8708,5,0,10
2284.0,366702.97,121.51294267,37.43342298,44.75,3.51,5.0328,5,0,10
2284.0,366702.99,121.51294269,37.43342324,44.75,3.52,5.1336,5,0,10
2284.0,366703.01,121.51294270000001,37.43342349,44.75,3.51,5.1192,5,0,10
2284.0,366703.03,121.51294272,37.43342375,44.75,3.48,5.1516,5,0,10
2284.0,366703.05,121.51294272,37.43342402,44.75,3.46,5.2632,5,0,10
2284.0,366703.07,121.51294275,37.43342428,44.75,3.48,5.4144000000000005,5,0,10
2284.0,366703.09,121.51294279,37.43342455,44.75,3.51,5.4036,5,0,10
2284.0,366703.11,121.51294282,37.43342482,44.75,3.51,5.3676,5,0,10
2284.0,366703.13,121.51294286,37.43342509,44.75,3.52,5.3748000000000005,5,0,10
2284.0,366703.15,121.5129429,37.43342535,44.75,3.55,5.2452000000000005,5,0,10
2284.0,366703.17,121.51294293,37.43342561,44.74,3.54,4.9895999999999985,5,0,10
2284.0,366703.19,121.51294296,37.43342585,44.74,3.49,4.698,5,0,10
2284.0,366703.21,121.51294298,37.43342608,44.74,3.43,4.5396,5,0,10
2284.0,366703.23,121.51294299999999,37.4334263,44.74,3.39,4.4928,5,0,10
2284.0,366703.25,121.51294298,37.43342658,44.74,3.36,4.4136,5,0,10
2284.0,366703.27,121.51294299999999,37.4334268,44.74,3.34,4.3452,5,0,10
2284.0,366703.29,121.51294301,37.43342701,44.74,3.31,4.2984,5,0,10
2284.0,366703.31,121.51294302,37.43342723,44.74,3.28,4.2876,5,0,10
2284.0,366703.33,121.51294302,37.43342744,44.74,3.25,4.194,5,0,10
2284.0,366703.35,121.51294304,37.43342765,44.74,3.21,4.1256,5,0,10
2284.0,366703.37,121.51294305,37.43342785,44.74,3.18,4.0968,5,0,10
2284.0,366703.39,121.51294308,37.43342806,44.75,3.18,4.0932,5,0,10
2284.0,366703.41,121.51294312,37.43342826,44.75,3.21,4.0032000000000005,5,0,10
2284.0,366703.43,121.51294309,37.43342844,44.75,3.22,3.8736,5,0,10
2284.0,366703.45,121.51294311,37.43342863,44.75,3.22,3.8088,5,0,10
2284.0,366703.47,121.51294312,37.43342882,44.75,3.21,3.762,5,0,10
2284.0,366703.49,121.51294311,37.43342901,44.75,3.19,3.7332,5,0,10
2284.0,366703.51,121.51294311,37.43342919,44.75,3.16,3.7044,5,0,10
2284.0,366703.53,121.51294311,37.43342938,44.75,3.16,3.6576,5,0,10
2284.0,366703.55,121.51294311,37.43342956,44.75,3.19,3.5496,5,0,10
2284.0,366703.57,121.51294313,37.43342973,44.75,3.21,3.3732,5,0,10
2284.0,366703.59,121.51294314,37.43342989,44.75,3.21,3.168,5,0,10
2284.0,366703.61,121.51294314,37.43343005,44.75,3.18,3.0312,5,0,10
2284.0,366703.63,121.51294314,37.433430200000004,44.75,3.14,3.0636,5,0,10
2284.0,366703.65,121.51294311,37.4334304,44.75,3.13,3.2328,5,0,10
2284.0,366703.67,121.51294313,37.43343056,44.75,3.17,3.4272,5,0,10
2284.0,366703.69,121.51294316,37.43343074,44.75,3.24,3.4524,5,0,10
2284.0,366703.71,121.51294318,37.4334309,44.75,3.29,3.2256,5,0,10
2284.0,366703.73,121.51294317,37.43343105,44.75,3.26,2.8872000000000004,5,0,10
2284.0,366703.75,121.51294316,37.43343119,44.75,3.17,2.6712,5,0,10
2284.0,366703.77,121.51294315,37.43343133,44.75,3.08,2.7324,5,0,10
2284.0,366703.79,121.51294316,37.43343147,44.75,3.07,2.9772,5,0,10
2284.0,366703.81,121.51294320000001,37.43343163,44.75,3.15,3.2508000000000004,5,0,10
2284.0,366703.83,121.51294322,37.43343179,44.75,3.24,3.1860000000000004,5,0,10
2284.0,366703.85,121.51294324,37.43343194,44.75,3.27,2.8548,5,0,10
2284.0,366703.87,121.51294325,37.43343207,44.75,3.21,2.5308,5,0,10
2284.0,366703.89,121.51294324,37.43343219,44.76,3.07,2.4336,5,0,10
2284.0,366703.91,121.51294323,37.43343232,44.76,2.96,2.7144,5,0,10
2284.0,366703.93,121.51294326,37.43343247,44.76,2.98,3.2688,5,0,10
2284.0,366703.95,121.51294331,37.43343264,44.76,3.11,3.5172,5,0,10
2284.0,366703.97,121.51294334,37.43343281,44.76,3.19,3.2796000000000003,5,0,10
2284.0,366703.99,121.51294334,37.43343296,44.76,3.13,2.9412,5,0,10
2284.0,366704.01,121.51294332,37.4334331,44.76,3.0,2.9124000000000003,5,0,10
2284.0,366704.03,121.51294331,37.43343326,44.76,2.9,3.2544,5,0,10
2284.0,366704.05,121.51294332,37.43343346,44.76,2.94,3.7656,5,0,10
2284.0,366704.07,121.51294336,37.43343365,44.76,3.04,3.8952,5,0,10
2284.0,366704.09,121.51294338,37.43343384,44.75,3.12,3.7008,5,0,10
2284.0,366704.11,121.51294340000001,37.43343401,44.75,3.13,3.3408,5,0,10
2284.0,366704.13,121.51294338,37.43343417,44.75,3.04,3.06,5,0,10
2284.0,366704.15,121.51294336,37.43343432,44.75,2.91,3.0456,5,0,10
2284.0,366704.17,121.51294335,37.43343448,44.76,2.85,3.4344,5,0,10
2284.0,366704.19,121.51294337,37.43343467,44.76,2.94,3.9204,5,0,10
2284.0,366704.21,121.51294340000001,37.43343487,44.76,3.08,3.9348,5,0,10
2284.0,366704.23,121.51294336,37.43343502,44.75,3.13,3.6504,5,0,10
2284.0,366704.25,121.51294335,37.4334352,44.75,3.1,3.3804,5,0,10
2284.0,366704.27,121.51294332,37.43343536,44.75,3.01,3.2688,5,0,10
2284.0,366704.29,121.51294329,37.43343552,44.75,2.9,3.3192000000000004,5,0,10
2284.0,366704.31,121.51294327,37.43343569,44.75,2.86,3.5604,5,0,10
2284.0,366704.33,121.51294328,37.43343588,44.75,2.93,3.8232,5,0,10
2284.0,366704.35,121.51294329,37.43343607,44.75,3.04,3.8196,5,0,10
2284.0,366704.37,121.51294329,37.43343626,44.75,3.09,3.4992,5,0,10
2284.0,366704.39,121.51294327,37.43343642,44.75,3.03,3.15,5,0,10
2284.0,366704.41,121.51294323,37.43343657,44.75,2.89,2.9628,5,0,10
2284.0,366704.43,121.51294318,37.43343672,44.75,2.78,2.9736,5,0,10
2284.0,366704.45,121.51294318,37.43343688,44.75,2.74,3.1860000000000004,5,0,10
2284.0,366704.47,121.51294320000001,37.43343704,44.75,2.81,3.4812,5,0,10
2284.0,366704.49,121.51294323,37.43343722,44.75,2.92,3.528,5,0,10
2284.0,366704.51,121.51294325,37.43343739,44.75,2.99,3.3048,5,0,10
2284.0,366704.53,121.51294324,37.43343754,44.75,2.95,3.042,5,0,10
2284.0,366704.55,121.51294321,37.43343769,44.75,2.83,2.9556,5,0,10
2284.0,366704.57,121.51294320000001,37.43343784,44.75,2.72,3.2004,5,0,10
2284.0,366704.59,121.51294322,37.43343802,44.75,2.77,3.7008,5,0,10
2284.0,366704.61,121.51294326,37.43343821,44.75,2.91,3.888,5,0,10
2284.0,366704.63,121.51294325,37.43343834,44.75,3.04,3.5460000000000003,5,0,10
2284.0,366704.65,121.51294326,37.4334385,44.75,3.03,3.0024,5,0,10
2284.0,366704.67,121.51294323,37.43343864,44.75,2.89,2.7108,5,0,10
2284.0,366704.69,121.51294320000001,37.43343877,44.75,2.73,2.8080000000000003,5,0,10
2284.0,366704.71,121.51294321,37.43343893,44.75,2.73,3.4632,5,0,10
2284.0,366704.73,121.51294327,37.43343912,44.75,2.89,3.978,5,0,10
2284.0,366704.75,121.51294333,37.43343931,44.75,3.06,3.8052,5,0,10
2284.0,366704.77,121.51294336,37.43343948,44.75,3.11,3.2724,5,0,10
2284.0,366704.79,121.51294336,37.43343963,44.76,3.02,2.8584,5,0,10
2284.0,366704.81,121.51294335,37.43343977,44.76,2.87,2.8476000000000004,5,0,10
2284.0,366704.83,121.51294336,37.43343997,44.76,2.82,3.3732,5,0,10
2284.0,366704.85,121.51294341,37.43344016,44.76,2.97,3.9636,5,0,10
2284.0,366704.87,121.51294347,37.43344035,44.76,3.16,3.9168,5,0,10
2284.0,366704.89,121.51294349,37.43344053,44.76,3.23,3.3696,5,0,10
2284.0,366704.91,121.51294348,37.43344068,44.76,3.14,2.9628,5,0,10
2284.0,366704.93,121.51294345,37.43344083,44.76,2.98,2.9232000000000005,5,0,10
2284.0,366704.95,121.51294345,37.43344098,44.76,2.89,3.3228000000000004,5,0,10
