GPSWeek,GPSTime,imu_lon,imu_lat,imu_altitude,headingAngle,v,cmd_v,car_v,shiftLevel,均值,方差,标准差,均方根误差,坡度
2284.0,97348.34,121.51336918,37.43329422,45.83,91.91,4.212,4,4.1796875,3,3.6788666666666665,0.0679243288888889,0.26062296308823,0.4135830589696181,0.10977152971141727
2284.0,97348.44,121.51337039,37.43329424,45.84,92.0,3.906,4,4.1796875,3,3.6788666666666665,0.0679243288888889,0.26062296308823,0.4135830589696181,0.1264914233159758
2284.0,97348.54,121.51337157,37.43329418,45.85,92.23,3.4019999999999997,4,4.1953125,3,3.6788666666666665,0.0679243288888889,0.26062296308823,0.4135830589696181,0.15663235987699972
2284.0,97348.65,121.51337279999998,37.43329414,45.87,92.38,3.4704,4,4.1953125,3,3.6788666666666665,0.0679243288888889,0.26062296308823,0.4135830589696181,0.14573681087406665
2284.0,97348.75,121.51337395,37.43329406,45.88,92.55,3.4848,4,4.1953125,3,3.6788666666666665,0.0679243288888889,0.26062296308823,0.4135830589696181,0.1821247278042741
2284.0,97348.85,121.51337517,37.43329392,45.9,92.78,3.42,4,4.21875,3,3.6788666666666665,0.0679243288888889,0.26062296308823,0.4135830589696181,0.15907321388472076
2284.0,97348.95,121.51337623,37.43329382,45.92,92.75,3.7332,4,4.1796875,3,3.6788666666666665,0.0679243288888889,0.26062296308823,0.4135830589696181,0.10101402911154268
2284.0,97349.04,121.51337723,37.43329372,45.93,92.73,3.9960000000000004,4,4.1796875,3,3.6788666666666665,0.0679243288888889,0.26062296308823,0.4135830589696181,0.10808872415996228
2284.0,97349.14,121.51337841,37.4332936,45.94,92.83,3.96,4,4.1953125,3,3.6788666666666665,0.0679243288888889,0.26062296308823,0.4135830589696181,0.10959198434529054
2284.0,97349.25,121.51337973,37.43329351,45.95,92.92,3.726,4,4.1953125,3,3.6788666666666665,0.0679243288888889,0.26062296308823,0.4135830589696181,0.1377912495563269
