PC_time_stamp,帧ID,帧内容
1696403794.9215155,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403794.9226131,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403795.0215247,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403795.0224857,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403795.121433,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403795.1225038,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403795.2215924,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403795.222511,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403795.3214142,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403795.3224783,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403795.4216049,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403795.4226663,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403795.521516,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403795.52249,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403795.6215193,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403795.6224806,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403795.7216046,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403795.7224824,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403795.8213823,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403795.822444,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403795.9216387,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403795.9225268,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403796.0216138,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403796.0225139,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403796.1215186,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403796.122657,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403796.2215202,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403796.2225025,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403796.3214793,419406119,"{'档位': 0, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403796.3225098,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403796.4216583,419406119,"{'档位': 1, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403796.4227204,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403796.5216115,419406119,"{'档位': 1, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403796.522509,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403796.6216152,419406119,"{'档位': 1, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403796.6225822,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403796.7216496,419406119,"{'档位': 1, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403796.7225583,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403796.8215084,419406119,"{'档位': 1, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403796.8225412,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403796.9216564,419406119,"{'档位': 1, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403796.9225917,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403797.0215182,419406119,"{'档位': 1, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403797.022762,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403797.1216602,419406119,"{'档位': 1, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403797.1225858,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403797.221677,419406119,"{'档位': 1, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403797.222576,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 12, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403797.3212836,419406119,"{'档位': 1, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403797.322368,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403797.4216924,419406119,"{'档位': 1, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403797.4226599,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403797.521708,419406119,"{'档位': 1, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403797.5227394,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403797.6217847,419406119,"{'档位': 1, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
1696403797.6227229,419406375,"{'刹车状态': 1, '发动机扭矩百分比': 11, '方向盘故障': 0, '方向盘位置传感器值': 0}"
1696403797.7218575,419406119,"{'档位': 1, '车速': 0.0, '提升器高度': 0, '提升器合力': 250, '车不动原因': 0, '前轮转角': -100}"
